target	first_context	second_context	label	idx	pos	first_word	first_position	second_word	second_position																
tegn	Fermaten er et tegn for hvile, der sættes over noder eller pausetegn	jeg førte fingeren op foran munden som tegn til, at han skulle tie stille	different_sense	14178	sb.	tegn	(15, 19)	tegn	(39, 43)																
gren	de forskellige grene af Romanov-familien var i åbenlyst slagsmål	[han havde] specialiseret sig i en gren inden for trylleri kaldt mental-magi	different_sense	3801	sb.	grene	(15, 20)	gren	(35, 39)																
logik	Så fyrer I altså en dygtig og kreativ medarbejder, jeg har lidt svært ved at se logikken	Hvis man vil forstå det, der sker i Sovjetunionen, må man tage udgangspunkt i det sovjetiske systems egen logik	same_sense	7161	sb.	logikken	(80, 88)	logik	(106, 111)																
industri	allerede i middelalderen var strikvarer så efterspurgte, at en industri tog form, skønt masseproduktionen måtte ske i hånden	Plast er et resultat af en højt udviklet kemisk industri, hvor man på basis af naturråstoffer kan frembringe nye stoffer	same_sense	4822	sb.	industri	(63, 71)	industri	(48, 56)																
te	jeg [lavede] te og smurte ostekiks, og vi lyttede til nogle af mine grammofonplader	[i Darjeeling-distriktet] produceres Indiens mest berømte teer	different_sense	14124	sb.	te	(13, 15)	teer	(58, 62)																
fejl	Han var et enestående og godt menneske, men han havde én stor fejl — han kunne ikke sige nej	Den mest pinlige fejl er nok på side 102-103, hvor Klodernes kamp tillægges Jules Verne	different_sense	2437	sb.	fejl	(62, 66)	fejl	(17, 21)																
udvalg	Et udvalg under arbejdsministeriet har skønnet, at fejludbetalinger af dagpenge og feriedagpenge vil påføre staten en merudgift på 525 mill. kr. i år	Udstillingen imponerer måske ikke ved sin størrelse, men byder til gengæld på et skønsomt udvalg af genrens førende mestre	different_sense	15261	sb.	udvalg	(3, 9)	udvalg	(90, 96)																
storm	Ægteskabet, der rejste en storm af forargelse i Tyskland, blev langt og lykkeligt	Ved den tredje storm lykkes det angriberne at plante deres flag på skansen	different_sense	13228	sb.	storm	(26, 31)	storm	(15, 20)																
linje	Klip efter den stiplede linie	Søren Mørch [skriver selv] bind 1 med nogle lange linier og gennemgående temaer på tværs af kronologien	different_sense	6935	sb.	linie	(24, 29)	linier	(50, 56)																
vindue	I aftes tændte vi levende lys i vinduerne, som vi plejer 4. maj	OS/2 [kan] afvikle flere DOS programmer samtidigt. Enten i vinduer eller, som man kender det fra DOS, i en helskærm	different_sense	15789	sb.	vinduerne	(32, 41)	vinduer	(59, 66)																
betydning	sociologien handler om, hvad der sker, når mennesker mødes — både i direkte og i mere overført betydning	Kosten har stor betydning for gigtramte mennesker	different_sense	957	sb.	betydning	(95, 104)	betydning	(16, 25)																
magt	gruppen blev med magt smidt ud af bygningen	hysterisk af rædsel prøvede han af al magt at rejse sig for at flygte	same_sense	7418	sb.	magt	(17, 21)	magt	(38, 42)																
klat	Figuren modelleres med små klatter ler	undgå, at lærer og censor skal lede forvirret mellem streger og klatter for at finde teksten	same_sense	5578	sb.	klatter	(27, 34)	klatter	(64, 71)																
lod	en sådan frihed [: til frit salg og køb af jord] vil friste fattige bønder til at sælge deres lodder til nyrige spekulanter	Lodtrækningerne sker kun blandt solgte lodder, og vi giver alle de mange heldige vindere direkte besked	different_sense	7150	sb.	lodder	(94, 100)	lodder	(39, 45)																
skov	På jorden under dem stod en grøn skov af høje brændenælder	Se, Malene! råbte Wicky og pegede i retning af den skov af skibsmaster, der spærrede udsynet til vandet	different_sense	11820	sb.	skov	(33, 37)	skov	(51, 55)																
ilt	Ozon dannes, når normal ilt .. tilføres et ekstra iltatom, f.eks. ved ultraviolet bestråling eller elektriske påvirkninger	fedt, proteiner og stivelse .. er i det væsentlige sammensat af kulstof (C), ilt (O) og brint (H)	different_sense	4747	sb.	ilt	(24, 27)	ilt	(77, 80)																
mund	Fordøjelsesprocessen begynder i munden, hvor maden findeles, når vi tygger	arrangørerne havde givet dem fri mund til at snakke om, hvad de ville	different_sense	8159	sb.	munden	(32, 38)	mund	(33, 37)																
ansigt	Blandt ensomhedens mange ansigter er også den frivillige isolation	Han mener, at Arafat har vist sit og PLOs sande ansigt med den ubetingede støtte til Saddam Hussein	same_sense	351	sb.	ansigter	(25, 33)	ansigt	(48, 54)																
passage	Hun gik med små fine skridt gennem den smalle passage, der førte ind til stuen	En af de flottest restaurerede købmandsgårde, Kaufmannshof, ligger med adgang gennem en passage fra Norderstrasse 86	same_sense	9240	sb.	passage	(46, 53)	passage	(88, 95)																
horn	Bredt armbånd i horn fra Gerda Lynggaard til 895 kr.	forældrene hørte radio og læste avis og spiste gifler, horn og rundstykker	different_sense	4391	sb.	horn	(16, 20)	horn	(55, 59)																
sprøjt	et varmt sprøjt af blod ramte hans hånd	Vi har købt en hel kasse af sprøjtet, og det smager modbydeligt	different_sense	12671	sb.	sprøjt	(9, 15)	sprøjtet	(28, 36)																
jern	Jern ruster, når det ikke er beskyttet mod fugt	han fik hænder, der var så hårde som jern indeni	same_sense	4938	sb.	Jern	(0, 4)	jern	(37, 41)																
mærke	Han holdt regnskab med tiden ved med sin økse at hugge mærker i barken for hver dag	Der var mærker på gulvet fra den store, tunge seng	same_sense	8229	sb.	mærker	(55, 61)	mærker	(8, 14)																
bidrag	Pengene til de forskellige aktiviteter får Mødrehjælpen bl.a. som .. bidrag fra fonde	Ved .. skilsmisse skal i hvert fald bidrag til børnene fastsættes og evt. hustrubidrag	same_sense	1000	sb.	bidrag	(69, 75)	bidrag	(36, 42)																
landsby	I løbet af de seneste årtier er landsbyerne gradvis forvandlet fra landbrugsbyer til boligbyer	En dag samledes hele landsbyen på stranden ved det nye skib	different_sense	6775	sb.	landsbyerne	(32, 43)	landsbyen	(21, 30)																
fest	Jeg elsker at være sammen med vennerne til fest	hun har aldrig lært mig at bestille en skid, det hele var en fest, indtil far flyttede	different_sense	2461	sb.	fest	(43, 47)	fest	(61, 65)																
opsætning	der [er] gået længere og længere tid mellem opsætningerne, fordi operaen er så hulens svær at realisere på scenen med sine mange og lange arier	Før var de 56 ansatte til at klare opsætningen af det jyske dagblad .. Nu kan 14 mand klare det	different_sense	8994	sb.	opsætningerne	(44, 57)	opsætningen	(35, 46)																
håndled	ledegigt (reumatoid artritis) .. har symptomer som rødme og smerte ved fingerled, håndled og skulder	Men tøjet! En dobbeltradet, mørk habit, der var blankslidt, havde krøllede reverser og var direkte fedtet ved håndleddene	different_sense	4705	sb.	håndled	(82, 89)	håndleddene	(110, 121)																
mokka	De fine chokoladedesserter .. blev nydt til sidste bid. Vi sluttede med en god mokka	efterårets og vinterens helt store farver i boligen bliver creme, grå og mokka	different_sense	8092	sb.	mokka	(79, 84)	mokka	(73, 78)																
måltid	Morgenmad er dagens vigtigste måltid. Alligevel bruger vi for lidt tid på det vigtige måltid, fordi vi har travlt	snart blussede ilden fra et bål ved flodbredden, hvor de serverede det lækreste måltid af grillede rejer og stegte bananer	different_sense	8480	sb.	måltid	(30, 36)	måltid	(80, 86)																
tilstand	fabrikanten står inde for lægemidlets virkning i uåben tilstand	I Danmark er vi tæt på en demokratisk tilstand, som er meget human, og som giver en stor tryghed for den enkelte	different_sense	14462	sb.	tilstand	(55, 63)	tilstand	(38, 46)																
opgave	der er forældre, som ikke magter den opgave .. at værne og opdrage egne børn	Hvis De har vundet, skal De udfylde kuponen på side 176 og sende den til Hjemmet. Husk også at løse den lille opgave på kuponen	different_sense	8892	sb.	opgave	(37, 43)	opgave	(110, 116)																
tid	I lang tid sad de uden at sige noget. Man hørte kun ildens knitren og små sprut og vinden, der hylede og tudede udenfor	Alkoholmisbrug er et af vor tids største samfundsproblemer	same_sense	14260	sb.	tid	(7, 10)	tids	(28, 32)																
dyr	En kat er et frit dyr. Den skal kunne gå ind og ud, når det passer den	Adriana er dyret og Cesira er det civiliserede menneske. Adriana følger sine instinkter og lyster	different_sense	2030	sb.	dyr	(18, 21)	dyret	(11, 16)																
rulle	Der var et par jernskruer i kniplebrættets rulle	Der stod Farmors gamle rulle med håndsving og tandhjul	different_sense	10627	sb.	rulle	(43, 48)	rulle	(23, 28)																
fætter	over halvdelen af den danske befolkning [mener], at fætre og kusiner ikke bør gå i seng med hinanden	Fætter Jakob havde altid været vant til et veldækket bord alle ugens syv dage	same_sense	3303	sb.	fætre	(52, 57)	Fætter	(0, 6)																
køn	i et .. tilfælde hvor stillingsbetegnelsen peger på et bestemt køn, da skal der efter stillingen stå m/k	Den herskende naturvidenskabelige teori er, at det er rent genetisk bestemt, om det bliver det ene eller andet køn	same_sense	6676	sb.	køn	(63, 66)	køn	(111, 114)																
pyramide	Tyske arkæologer har fundet en hidtil ukendt pyramide i Luxor i Egypten. Pyramiden er fra omkring år 1400 f.v.t.	Borg Jensen har alene og med de bare næver bygget den 8 meter høje pyramide	same_sense	9971	sb.	pyramide	(45, 53)	pyramide	(67, 75)																
spejl	han ser sig i spejlet og opdager en bums på næsen, hvordan skal han kunne imponere pigerne med sådan en bums	[hun så] Alexander i et frygteligt syn ligge flydende på søens blanke spejl, da hun skubbede lågen op	same_sense	12391	sb.	spejlet	(14, 21)	spejl	(70, 75)																
erhverv	Jeg har haft fire forskellige erhverv	værelserne mod portrummet er indrettet til erhverv	same_sense	2194	sb.	erhverv	(30, 37)	erhverv	(43, 50)																
panel	Stuen var stor og lys, med nymalede hvide paneler og en åben kamin	[det besluttedes] at nedsætte et panel af verdens førende eksperter indenfor klimatologi, meteorologi, geofysik mv.	different_sense	9142	sb.	paneler	(42, 49)	panel	(33, 38)																
blomst	Liljekonval er forsommerens smukkeste vilde blomst	Det var en nydelig jakke med brune og rosa blomster på lilla bund	different_sense	1177	sb.	blomst	(44, 50)	blomster	(43, 51)																
form	Der findes ikke to isbjerge, som er ens. De varierer både i størrelse og form	Nu kan du få Blenda vaskemidlet i flydende form	same_sense	2875	sb.	form	(73, 77)	form	(43, 47)																
slaveri	Dansktænkende advarede .. i 1972 og senere mod, at EF betyder slaveri under storkapitalister sydfra	Mangler du ikke nogle fag endnu? — Engelsk, historie og dansk. Så er det slut med slaveriet	different_sense	12272	sb.	slaveri	(62, 69)	slaveriet	(82, 91)																
kritik	Gyldendal har samlet kronikker, kritikker og historier, som hidtil kun har været trykt i periodiske medier	Det er næppe nogen hemmelighed, at Morten Korch og kritikken ikke havde det godt sammen	different_sense	6244	sb.	kritikker	(32, 41)	kritikken	(51, 60)																
farve	Hun trådte ind i et kæmpestort soveværelse i lyse blålilla farver	Valmuen knejser med farver i rød, purpur, rosa, lilla og lyseblå	same_sense	2353	sb.	farver	(59, 65)	farver	(20, 26)																
bosættelse	hedeopdyrkning og det nye landbrug havde muliggjort en tættere bosættelse i de førhen tyndtbefolkede områder [i Jylland]	Storbritannien har .. kritiseret Israel for at have oprettet endnu en bosættelse på Jordan-flodens vestbred	different_sense	1308	sb.	bosættelse	(63, 73)	bosættelse	(70, 80)																
forretning	Efter nedsættelsen af afgifterne på vin og øl, kan man nu gå ind i en forretning og købe en flaske rødvin til 14 kr.	den bedste forretning er den, hvor begge parter er tilfredse med resultatet	different_sense	3017	sb.	forretning	(70, 80)	forretning	(11, 21)																
vrag	skibet .. stod fast på den inderste revle og var meget slemt medtaget, selv om det ikke var slået helt til vrag endnu	Bilen var et rustent vrag af en kassevogn, der osede som et lokomotiv	different_sense	15880	sb.	vrag	(107, 111)	vrag	(21, 25)																
knop	Han tog varsomt om mine store bryster og kyssede de stive knopper	kommandanten fortalte os .. at prøvede vi på noget som helst, ville vi miste knoppen	different_sense	5769	sb.	knopper	(58, 65)	knoppen	(77, 84)																
vending	det gamle "vorde" .. indgår i visse faste vendinger som "den vordende mor"	[Hun] kører hurtigere i svingene end på lige strækninger, og foretager umulige vendinger i lyskryds for rødt lys	different_sense	15579	sb.	vendinger	(42, 51)	vendinger	(79, 88)																
skov	Skoven kommer os i møde. Høje, sneklædte grantræer rejser sig som søjler på begge sider af vejen	Se, Malene! råbte Wicky og pegede i retning af den skov af skibsmaster, der spærrede udsynet til vandet	different_sense	11817	sb.	Skoven	(0, 6)	skov	(51, 55)																
andel	Ingen tvivl om vi landbrugere erkender at vi har en andel i forureningen	Han har også en ikke ringe andel i forestillingens sjoveste scene	same_sense	243	sb.	andel	(52, 57)	andel	(27, 32)																
protokol	Af gamle protokoller fra Toldkammeret i Sæby fremgår, at smuglerne på Hirsholmene var et alvorligt problem	det blev et [fyrste]bryllup lige efter protokollen. Stift og kedeligt	different_sense	9852	sb.	protokoller	(9, 20)	protokollen	(39, 50)																
version	Forlaget .. regner med at have den danske version på gaden i slutningen af februar	Vi har opsøgt Tchang for at få hans version af, hvordan venskabet og samarbejdet med Hergé opstod	different_sense	15687	sb.	version	(42, 49)	version	(36, 43)																
karakter	På grund af en stærk karakter og vilje samt et stort overblik er du den fødte leder	jeg sætter meget stor pris på, at min kone giver mig en eller anden karakter for det jeg har gjort	different_sense	5396	sb.	karakter	(21, 29)	karakter	(68, 76)																
karakter	Salatskålens indhold har skiftet karakter. Den skal ikke alene bestå af grønne salatblade. Nej, der skal være farve og smag	Avisens hjemmelavede oversætterprogram kan ekspedere en side med 10.000-15.000 karakterer på et lille sekund	different_sense	5385	sb.	karakter	(33, 41)	karakterer	(79, 89)																
knap	Jeg rettede på min skjorte og knappede den øverste knap	Det er et dygtigt firma der har sat siden op, og det har kostet knapper!	different_sense	5734	sb.	knap	(30, 34)	knapper	(64, 71)																
natur	Interessen for fugle begynder ofte tidligt, hvis børn får lov at komme ud i naturen	Teorien går ud på, at store dele af universet er usynligt og består af stof, hvis natur vi endnu ikke kender	different_sense	8507	sb.	naturen	(76, 83)	natur	(82, 87)																
organ	Tetanus-bakteriens supergiftige affaldsstoffer kan på få timer lamme både lungerne og andre livsnødvendige organer	Jeg har i mange år været i besiddelse af det kraftige organ, der kan synge et lokale op	different_sense	9064	sb.	organer	(107, 114)	organ	(54, 59)																
rum	udsugningsventiler renses et par gange om året. Oftere i rum med meget støv eller fugt	Loven og samfundet er ét. Det er et socialt rum, inden for hvilket den enkelte er sikret integritet og "fred"	different_sense	10638	sb.	rum	(57, 60)	rum	(44, 47)																
indsats	Både Socialdemokratiet og DSU vil gøre en indsats for at bekæmpe det voksende fremmedhad i Danmark	Søren havde fået et fantastisk godt tilbud fra Italien efter Danmarks gode indsats ved EM	same_sense	4791	sb.	indsats	(42, 49)	indsats	(75, 82)																
bælte	På Afrikas Horn og i et bælte tværs over kontinentets bug er brøndene tomme, dyrene døde, markerne ligger brak	Personer, der lægges i bælte, må .. ikke lades alene. De skal have ret til en fast vagt eller være under stadigt opsyn	different_sense	1648	sb.	bælte	(24, 29)	bælte	(23, 28)																
høst	Vi regner med, at dette års høst bliver den dårligste i de seneste 10-15 år	Næsten uoverraskende for denne produktive komponist .. finder vi en rig høst af celloværker hos ham	different_sense	4693	sb.	høst	(28, 32)	høst	(72, 76)																
knold	Ole, der sad på en knold og sang, blev .. klar over, at man ikke kan leve kun på minderne	Hun er .. ikke præstetypen, der for at tækkes gamle normer har knold i nakken	different_sense	5747	sb.	knold	(19, 24)	knold	(63, 68)																
forsøg	politiet kørte rundt i området i et forsøg på at finde gerningsmændene til sabotagen	Billedet .. var et forsøg på at beskrive den dybe sorg og armod han havde erfaret	different_sense	3087	sb.	forsøg	(36, 42)	forsøg	(19, 25)																
historie	Knud Rasmussen er ubestridt den største folkehelt i Grønlands historie	Den kolde krig er historie — nu gælder det fremtiden for Rusland og NATO	same_sense	4138	sb.	historie	(62, 70)	historie	(18, 26)																
enhed	trods brydninger mellem kraftfulde høvdingeslægter .. bevaredes rigets enhed	[regeringen lægger] op til en forhøjelse af ungdomsboligkvoten fra 2.500 i 1986 til 3.000 enheder i 1987	different_sense	2177	sb.	enhed	(71, 76)	enheder	(90, 97)																
rytme	Hun er hele tiden lidt bag efter musikken. Hun kan ikke rigtig finde rytmen	årtusinder har skabt en rytme, så naturen udnytter sine ressourcer bedst	different_sense	10722	sb.	rytmen	(69, 75)	rytme	(24, 29)																
dom	Tiden indtil dommen falder i sagen, bør være så kort som mulig	Debbie James' drøm om at få børn sank i grus, da hun fik lægernes dom at vide: Du har kræft i æggestokkene	different_sense	1930	sb.	dommen	(13, 19)	dom	(66, 69)																
brød	Motellet duftede sådan af frisk brød. De havde nok sat kaffen over nu	Form marcipan til et ovalt brød og skær det i skiver	different_sense	1423	sb.	brød	(32, 36)	brød	(27, 31)																
region	Med den faste Øresunds-forbindelse får vi et så stort opland, at København/Malmø bliver en af Europas mest "kreative" regioner	Senere udbredes irritationstilstanden, ofte først til øjenlåg, næsefurer og regionen bag ørerne	different_sense	10240	sb.	regioner	(118, 126)	regionen	(76, 84)																
fidus	Den gamle fidus med at hænge tomme æggebakker op på væggene som akustik-regulator virker stadigvæk	For Otto begynder en kamp for at overleve, og den går via det sorte marked, masser af fiduser og småsvindel	same_sense	2490	sb.	fidus	(10, 15)	fiduser	(86, 93)																
køkken	Duften af nybagte boller lokker både Jesper, Stine og Julie ud i køkkenet	Kunden tegner, afhenter, samler og monterer selv sit køkken, og sparer derved en masse penge	different_sense	6641	sb.	køkkenet	(65, 73)	køkken	(53, 59)																
patent	chefen, kommandørkaptajn (KK) Theis Riber, overrakte medalje og tilhørende patent til CSG ved en lille højtidelighed på distriktet tirsdag formiddag	Gehejmeråd Burchard Ahlefeldt til Eskilsmark fik 1672 patent som dansk greve	same_sense	9256	sb.	patent	(75, 81)	patent	(54, 60)																
guvernør	min tipoldefar var en Oxholm, der blev guvernør på De Vestindiske Øer efter von Scholten	guvernør Bill Clinton fra Arkansas har lagt sig i spidsen i kapløbet om hvem der skal være demokraternes præsidentkandidat	different_sense	4000	sb.	guvernør	(39, 47)	guvernør	(0, 8)																
marv	I marven på et sukkerrør er der op mod 25 procent sukker	[hun har] opsøgt danskere med holdninger og handlinger for at finde ind til marven af den danske egenart	different_sense	7528	sb.	marven	(2, 8)	marven	(76, 82)																
papir	Ved at arbejde bevidst med samspillet mellem papir og farve kan du opnå helhed i akvarellen	Inde i stuen flår Sofus det røde papir af. Og nu kan han næsten ikke tro sine egne øjne. "Orv, se, det er rulle-skøjter," råber Sofus	same_sense	9147	sb.	papir	(45, 50)	papir	(33, 38)																
tyngde	Zeffirelli giver alle scener den samme vægt, den samme tyngde, og resultatet bliver en påfaldende ensformig film	Sjældent har tyngden af et politisk ansvar så hurtigt kunnet aflæses på en politiker	different_sense	15080	sb.	tyngde	(55, 61)	tyngden	(13, 20)																
orden	middelalderens store ordener som f.eks. benediktinerne og franciskanerne	Den sindssyge tsar Paul 1. lod sig vælge til ordenens [: Johanniterordenens] stormester i 1798	same_sense	9036	sb.	ordener	(21, 28)	ordenens	(45, 53)																
arbejde	Askøy-broen udgør kun en del af omfattende arbejder i Bergen-området til godt to mia. norske kr.	direktionen har fundet både dramatisk evne og talent i dette arbejde [: en tragedie af H.C. Andersen]	different_sense	450	sb.	arbejder	(43, 51)	arbejde	(61, 68)																
pige	— Hvad holder dig så frisk? — Jeg ryger som en skorsten, nyder gerne en lille én, og så har jeg altid været glad for at gå med piger, griner danmarksmesteren	Den ældste dreng på 15 1/2 er også glad for piger, men han ved godt, at han skal beskytte sig, når det kommer så vidt	same_sense	9299	sb.	piger	(127, 132)	piger	(44, 49)																
front	rummet [har] en pompøs kamin med front i sort marmor	den kommunistiske antiimperialistiske front [har] til hensigt at alliere sig med andre revolutionære bevægelser	different_sense	3215	sb.	front	(33, 38)	front	(38, 43)																
godhed	han er som sagt en rar dreng, der fortjener andre menneskers godhed	sættes der ikke stop for indvandringen af disse turister [: iranske flygtninge], må partierne til venstre for regeringen anvise de besparelser, denne godhed koster	same_sense	3723	sb.	godhed	(61, 67)	godhed	(150, 156)																
høst	der ligger store livsværdier i at være fælles om et stykke arbejde, og høsten er .. med til at skabe sammenhold og fællesskab	Vi regner med, at dette års høst bliver den dårligste i de seneste 10-15 år	different_sense	4689	sb.	høsten	(71, 77)	høst	(28, 32)																
forskel	De fleste mennesker har sikkert oplevet forskellen mellem at være alene og at være ensom	Mens der ved den dansk-tyske grænse kun blev noteret 593 soltimer .. blev der talt 837 timer med sol på Skagen — en forskel på 40 procent	different_sense	3042	sb.	forskellen	(40, 50)	forskel	(116, 123)																
nerve	tandens nerve sender signaler op til hjernen, og det er her, smerten skabes	Hans nerver kunne ikke holde til presset længere. Han havde blodskudte øjne. Sov ikke. Rystede på hænderne	different_sense	8524	sb.	nerve	(8, 13)	nerver	(5, 11)																
fører	[det] blev muligt for nazisterne at .. indføre den diktatoriske førerstat, hvor førerens befalinger var lov	I to år har Signe sammen med en polak og to nordmænd arbejdet som førere på .. Svellnosbræen i Jotunheimen	same_sense	3357	sb.	førerens	(80, 88)	førere	(66, 72)																
mening	Det var ikke min mening at gøre grin med dig. Min tunge løb af med mig	Der er ingen mening i at han skal have lov til at opføre sig på den måde bare fordi han er rig	different_sense	7897	sb.	mening	(17, 23)	mening	(13, 19)																
væg	mudderet [skal] være sejt nok til at løfte det opborede materiale og løsrevne brokker fra borehullets vægge til overfladen	Hos bl.a. aber og gnavere danner mundhulens væg hulrum, hvori føde kan opbevares	different_sense	15898	sb.	vægge	(102, 107)	væg	(44, 47)																
illustration	der laves udstillinger med illustrationer af det, eleverne .. lærte sig i deres selvstændige undersøgelser	Allerede som student i 1977 begyndte hun at tegne meget præcise tegninger af oldsager til illustration af videnskabelige værker	different_sense	4741	sb.	illustrationer	(27, 41)	illustration	(90, 102)																
alarm	Efter alarmen kl. 9.12 var røgdykkere fra Kalundborg Brandvæsen .. fremme ved det brændende skib kl. 9.40	jeg [lod] foretage et mammografi af mit bryst. Der var ingen knude og ingen grund til alarm, og så var jeg jo glad	same_sense	176	sb.	alarmen	(6, 13)	alarm	(86, 91)																
farve	Hun trådte ind i et kæmpestort soveværelse i lyse blålilla farver	Hun havde givet hans grå dage farve og pustet liv i følelser, som han troede, var døde	different_sense	2363	sb.	farver	(59, 65)	farve	(30, 35)																
skuffe	Hun snøfter, lægger sine handsker ned i skuffen, lidt planløst, pudser næse .. og går på strømpesokker ind i stuen	industriministeriet måtte på baggrund af de indkomne protester lægge projektet i skuffen	different_sense	11905	sb.	skuffen	(40, 47)	skuffen	(81, 88)																
land	hele landet råber op om genteknologiens lyksaligheder	mange mennesker er blevet boende på landet, selv om de har taget arbejde i byerne	different_sense	6758	sb.	landet	(5, 11)	landet	(36, 42)																
klinik	De fleste opgaver løses på klinikken, hvor dyrlægerne har alt udstyr og kender faciliteterne. I enkelte tilfælde kan de dog køre på sygebesøg og behandle dyret i hjemmet	"Vi har også tilbud på farvning af bryn og vipper," hører jeg hende sige, før jeg forlader klinikken	different_sense	5644	sb.	klinikken	(27, 36)	klinikken	(91, 100)																
lod	Jeg rasede indvendig, og forbandede min lod. Ja, hvor var det dog fandens ydmygende og nedværdigende at være tjenestepige	Lodtrækningerne sker kun blandt solgte lodder, og vi giver alle de mange heldige vindere direkte besked	different_sense	7148	sb.	lod	(40, 43)	lodder	(39, 45)																
race	De hvide i Rhodesia så ned på de sorte, lagde ikke skjul på, at de betragtede dem som en underlegen race og forventede ubetinget lydighed	rygere er blevet en jaget race. Man kan knap nok tænde en smøg i et busskur uden at blive jaget flere meter væk af onde blikke	different_sense	10134	sb.	race	(100, 104)	race	(26, 30)																
mund	tungen fyldte hele munden, da jeg prøvede at sige noget	Fordøjelsesprocessen begynder i munden, hvor maden findeles, når vi tygger	same_sense	8150	sb.	munden	(19, 25)	munden	(32, 38)																
statsmagt	Efter århundredskiftet blev statsmagten en vigtig organisator af skolesystemet i en række lande	Den politiske interesse drejede sig ikke så meget om en begrænsning af statsmagten, for dens styrke kunne være hensigtsmæssig	different_sense	12818	sb.	statsmagten	(28, 39)	statsmagten	(71, 82)																
opgave	der er forældre, som ikke magter den opgave .. at værne og opdrage egne børn	Du skal aflevere opgaven i to underskrevne eksemplarer, originalen og en kopi	different_sense	8893	sb.	opgave	(37, 43)	opgaven	(17, 24)																
skilsmisse	Der er overhovedet ikke planer om en skilsmisse mellem LO og Socialdemokratiet, men de to har brug for en ny — og bedre måde at samarbejde på	Man skal gøre alt for at undgå en ulykkelig skilsmisse, mener udenrigsminister Jeppe Kofod, der er parat til at åbne nye forhandlinger med briterne og også til at udsætte fristen, hvis der er gode grunde til det	same_sense	11730	sb.	skilsmisse	(37, 47)	skilsmisse	(44, 54)																
plade	Det graciøse bord er udstyret med en gennemsigtig plade af råglas	Rul dejen ud til en plade, som er ca. 35 gange 40 cm. Den udrullede dej skal være stor nok til, at den kan pakkes om de 2 mørbrad	same_sense	9361	sb.	plade	(50, 55)	plade	(20, 25)																
