target	first_context	second_context	label	comment
balalajka	Gruppen trakterer de traditionelle russiske folkemusikinstrumenter balalajka og domra	Som akkompagnement til turen kan man vælge mellem toghjulenes monotone rumlen, russisk sukkerpop og traditionelle toner fra en inciterende balalajka	same_sense	224
kriger	På prærien i South Dakota levede Sioux-indianerne engang som stolte krigere, indtil de blev drevet sammen i reservater	Så blev døren ind til stuen flået op, og to krigere pegede direkte på far med deres geværer	same_sense	1893
drikkevare	En russisk stewardesse kørte forbi med en vogn fyldt med drikkevarer, og han købte to øl	Hvis en drikkevare skal markedsføres i Europa som "vin", skal den indeholde et minimum af alkohol	same_sense	814
kuriosum	stuvet ind på en hylde .. findes et billede, som både hvad motiv og forhistorie angår er et kuriosum	Som et kuriosum kan det nævnes, at gennemsnitsalderen på brugere af fiskestænger er syv år	same_sense	1945
angst	Jeg er bange, hvisker Simone og omfavner Tom. I angst knuger de sig ind til hinanden	de tænder ikke bålet af angst for, at røgen skal røbe dem	same_sense	111
peseta	En nem omregningsregel er, at 1.000 pesetas svarer til en 50'er	Vi bruger muchas af pesetas / Vi får set en del bodegas	same_sense	2735
smagsstof	Der er mange smagsstoffer i fedtlaget, der ligger under skindet	Go'Negls bitre smagsstoffer fratager dig nemlig enhver lyst til at bide i dine negle	same_sense	3438
rocksanger	Den karismatiske rocksanger har bebudet, at hans igangværende turné bliver den sidste	Elvis, kongen af rock'n'roll, var slet ikke rocksanger, men en sky og talentfuld balladesanger	same_sense	4427
flanør	Det mest karakteristiske led i 1800-tallets nye byskaber var boulevarden, og dens mest hjemmevante beboer var flanøren	Flanøren som nobel gentleman med spadserestok er forældet, men vi har alle muligheden for at berige os ved at flanere	same_sense	1093
voldgiftsret	Sager om leverandøransvar indbringes for voldgiftsretten for bygge- og anlægsvirksomhed	en ny afgørelse fra den internationale voldgiftsret i Danmark slår nu fast, at kapitalfonden er blevet bedraget	same_sense	4125
fastpris	TDC vil næste år introducere fastpris på mobiltelefoni på det danske marked og følger dermed efter konkurrenterne TeliaSonera og Sonofon	Kolonihaveforbundet har fastpriser på grundene, der betyder, at prisen ofte ligger langt under den reelle værdi	same_sense	4337
ly	Dronningen og prins Henrik sad i ly for solen i en særlig indrettet loge med oversejl	Byen havde den skønneste beliggenhed — lige ud til det friske blå hav og i ly af en smuk bøgeskov	same_sense	2096
eksklusivitet	kunsten har fået en aura af eksklusivitet over sig, der gør den fuldstændig umulig at forholde sig til og kapere	Desuden vil Zürich ud fra sin kontrakt kunne påberåbe sig såkaldt juridisk eksklusivitet, dvs. eneret på sit område, til at sponsorere Brøndby på forsikrings-området	same_sense	880
menneskebarn	Sammenlignet med mange pattedyr fødes menneskebørn meget hjælpeløse	Kun et vindpust er menneskene, menneskebørnene er blændværk	same_sense	2258
hormonbehandling	Caroline sættes i gang med en hormonbehandling, der stimulerer ægproduktionen	WTO er på vej til at underkende EU's afvisning af at importere oksekød fremstillet gennem hormonbehandling	same_sense	1532
strå	Taget kan være belagt med tegl, strå eller plader af alle slags	Han plukkede et strå og suttede på det. Det smagte af græs	same_sense	3614
oversigt	Mange kan selv opstille en oversigt over indtægter og udgifter, men de færreste kan overskue virkningerne af skattefordele og renteforløb	Regeringens økonomiske oversigt viser med al tydelighed, at arbejdsløsheden ikke forsvinder af sig selv	same_sense	2688
frihedskæmper	Harry var frihedskæmper og blev taget af tyskerne, men kom hjem igen	Gidseltagninger og røverier er velkendte finansieringskilder for terrorister og frihedskæmpere verden over	same_sense	1242
lukkedag	Færre pædagoger, flere lukkedage og tidligere overgang fra vuggestue til børnehave. Det er, hvad kommunernes besparelser kommer til at betyde det næste år	Skærtorsdag, langfredag, 1. påskedag og 2. påskedag er ifølge lukkeloven såkaldte lukkedage, men en lang række dagligvarebutikker er undtaget	same_sense	2091
hårvækst	Jeg har megen hårvækst på mine ben, som jeg rigtig gerne vil af med	Planterne kan have hårvækst andre steder end på bladene	same_sense	1630
kommandant	byens kommandant havde ladet porten lukke — af militære grunde	I den barak som lå parallelt med pigtrådshegnet boede kommandanten	same_sense	1833
dyreart	delfinen er en truet dyreart her i Middelhavet	Den grønkindede amazon-papegøje er en meget truet dyreart	same_sense	836
kommune	Mere end halvdelen af landets kommuner er ikke blevet mere produktive, efter de har indført elektronisk sags- og dokumenthåndtering	Staten, amterne, kommunerne og kirken opkræver skat, således at de kan få dækket deres udgifter	same_sense	1836
dødsfald	Begravelsen skal foregå senest en uge efter, at dødsfaldet er sket	Ved dødsfald ydes hjælp over sygesikringen til begravelse	same_sense	840
forbøn	Der findes mange fine, kristne mennesker, der talrige gange har modtaget forbøn uden at blive helbredt	På sin gamle mors forbøn, blev han dog løsladt efter halvandet år	same_sense	1153
veganer	Hvad skal vi dog traktere med, han er veganer?	Først blev hun vegetar og siden veganer, hvor alt spiseligt fra den animalske verden er valgt fra. Hun har gjort det af etiske grunde, af hensyn til miljøet og ikke mindst af hensyn til dyrene	same_sense	4080
kalenderår	Regnskabet følger kalenderåret	Hele den ferie, du har optjent i foregående kalenderår, skal .. være holdt senest den 1. maj	same_sense	1770
metal	Congo er i dag et ludfattigt land, men i undergrunden ligger vældige forekomster af metaller, som den industrialiserede verden har brug for	Anbring lidt sukker på en teske af metal	same_sense	2265
beholder	Hæld aldrig kemikalier i andre beholdere end de oprindelige	vandet, der trækkes ud af det våde tøj, opsamles i en beholder, der kan tages ud og tømmes	same_sense	273
tankeverden	Er stenaldermenneskets tankeverden for altid tabt. Adskilt af 180 generationers glemsel og kulturel forandring?	Hun hentede mere kaffe og lukkede sig ind i sin egen tankeverden	same_sense	3757
folkekøkken	Mange spiser en bønneret, som Ungdomshusets folkekøkken deler gratis ud til sultne	han gav efter for trangen til at få et ordentligt måltid mad og spiste så rigeligt af folkekøkkenets dampkogte kartofler, som han syntes han kunne være bekendt	same_sense	1124
ejendel	Der var fra skibet blevet reddet nogle få ejendele, et sølvur, en broche og et stykke silketøj	Det er fattige folk. I fattige hytter. De vil kunne samle deres få ejendele i en eneste bylt	same_sense	874
PR	der [er] 177 reklame-bureauer og 47 special-virksomheder, som beskæftiger sig med PR, markeds-analyse o.l.	han havde ellers forstået at skaffe sin organisation megen PR i de år — med stigende medlemstal til følge	same_sense	2863
hindring	En af de største hindringer for kvinders ligestilling er kvinders manglende viden om egne rettigheder, mener Dansk Kvindesamfund	Ensom, lidt genert fyr på 28/184/92 søger pige på 25-30 år. Et enkelt barn ingen hindring	same_sense	1490
lydbog	Lydbøgerne kan man høre, mens man løber, laver noget i hjemmet eller kører i tog eller bil	Mens lydbøger på CD er på retur, stormer lydbøger i MP3-format og som download frem. Antallet af solgte lydbøger er nu større end nogensinde før	same_sense	2102
migrant	Oprindeligt var hans far rejst som migrant efter arbejde først i Tyskland derefter i Danmark	Uanset om du bruger ordet flygtning eller migrant, risikerer du med dit ordvalg at tage stilling til personens formål med rejsen og retten til at opholde sig i landet	same_sense	2274
metodik	naturvidenskabernes metodik [er] baseret på eksperimenter og logiske følgeslutninger	Der er nu en vældig aktivitet om en ny metodik, hvor man tager små stykker af moderkagen ud allerede i 8.-10. graviditetsuge	same_sense	2270
særpræg	Det er så afgjort hanken i lyst flet, der giver den slanke kaffekande særpræg	Der findes utallige typer ris, som hver har deres særpræg, og som bruges på forskellig måde	same_sense	3722
enmandshær	Han satte seks mål ind i første halvleg, hvor han nærmest var en enmandshær for Århus GF	90 pct. af alle designervirksomheder er enmandshære med ejeren som eneste ansatte	same_sense	4328
levering	Det norske selskab Fylkeskraft Østlandet indgik mandag en hensigtsaftale om levering af overskudsenergi til Tyskland	Virkelig god pizza med meget fyld og lækker bagt bund. Den var varm ved leveringen	same_sense	2043
tipoldeforældre	Hvor boede dine tipoldeforældre, og hvordan levede de? Det er et spørgsmål, de færreste af os kan svare uddybende på	Hans tipoldeforældre var svenske, hed Larsson og udvandrede til Italien	same_sense	3825
godsejer	godsejer Birgitte har kæmpet for at finde nye forretningsmåder, så godset kan blive i familien. I dag har godset både klatrebane og vindmøller	mange godsejere driver stadig deres godser som jagtslotte for millionærer udefra, og det bidrager ikke meget til lokalsamfundet	same_sense	1321
mayonnaise	Rør mayonnaise og cremefraiche sammen og smag til med salt, peber og mild paprika	Olien skal kommes langsomt i, for ellers skiller mayonnaisen	same_sense	2225
perlerække	Gitte Hænning ler, så man kan se hele perlerækken af hendes hvide tænder	En perlerække af tegnere og malere er i tidens løb blevet hædret med Storm P.-prisen	same_sense	2727
manuduktør	Hun har desuden arbejdet som manuduktør ved Københavns Universitet i person-, familie- og arveret	Som gammel læge mindes jeg såkaldte manuduktører, der underviste studerende op til eksamen. For os medicinere var det især i anatomi	same_sense	2205
indlæring	I et forsøg på at fremskynde min indlæring af det franske sprog læser jeg tegneserier	hun har behov for faste rammer og indlæring af socialt acceptable normer, værdier og adfærd	same_sense	1668
læsebriller	Læsebrillerne balancerer helt ude på næsetippen, og han har hovedet lænet let tilbage som for at undgå, at de glider ud over kanten	jeg er blevet grå, har læsebriller og har vel egentlig også fået en ekstra friuge om året under navnet seniorferie	same_sense	2115
underholdning	8000 medarbejdere skal til fest med god mad og underholdning af bl.a. Hans Otto Bisgaard	vi havde jo ikke radio, TV eller video, så underholdningen bestod mest af kortspil i familien	same_sense	3980
middagsbord	De sidder ved et kæmpestort middagsbord, mens en butler i kjole og hvidt og lakajer i liberi varter dem op	Limfjords-naturen inspirerer til .. familiære fritidsudfoldelser, og chancen for at bjærge friskfangede rødspætter eller ål til middagsbordet er stor	same_sense	2271
auktion	hun køber gammelt sølv og gamle smykker på auktioner, hvorefter hun sætter det i stand og sælger det igen	alle medbringer en pakke til en værdi af ca. 25 kr., som der bliver holdt auktion over, og alle pengene går til vores klubkasse	same_sense	200
kirurgi	Lungekræft kan helbredes ved kirurgi, men ofte opdages sygdommen så sent, at det ikke nytter at operere	Man blev .. farmaceut, og efter endt læretid begyndte man at studere kirurgi	same_sense	1809
hylde	på hylderne i den mørkbejdsede reol står pokalerne og trofæerne	Gå op i køkkenet og hent de to dåsecolaer, der står på anden hylde i køleskabet	same_sense	1620
møblement	Karnappens møblement er let og raffineret	stuerne havde ligget en suite, adskilt af fløjdøre og med møblementet placeret langs væggene	same_sense	2428
kål	grovbrød, ris og grove grønsager som gulerødder, kål, porrer og frugt .. indeholder mange kostfibre	Hakket lammekød med pasta og kål er både spændende, delikat og sund gæstemad	same_sense	1990
bolig	Boligen er den vigtigste fysiske ramme om en families hverdag og trivsel	Der blev skaffet store summer til at opføre nye boliger for. Slumkvartererne skulle afskaffes	same_sense	399
konkursrytter	Der findes eksempler på konkursryttere, som igen og igen har fået store lån — og sat det hele over styr på de andre kunders bekostning	Danmark taber hvert år millioner af kroner på konkursryttere og plattenslagere	same_sense	4410
morakker	Du er nok kommet på arbejde, hvad Thomas? Overarbejde, endda. Er du sådan en lille morakker, Thomas?	hårdt arbejde er blot morakkerens uforståelige passion	same_sense	2381
mil	han red alle de mil ind til København fra Knabstrup for at se hende	Vi sidder i et vrag dybt nede, tusind mile fra land! Hvad betyder det så, om man har lidt kvalme?	same_sense	2333
opholdssted	der oprettes asylcentre, som så siden kan blive til mere permanente opholdssteder for flygtninge	Det svenske politi sporede irakerens opholdssted, og torsdag aften blev han anholdt	same_sense	2571
brudepar	i regn og kulde blev brudeparret overdænget med ris efter vielsen	Efter et par dages ophold i London tog brudeparret på bryllupsrejse	same_sense	478
jernbryllup	Jernbryllup: Ruth og Jørgen Rasmussen, Døckerslundsvej, Odense kan i dag fejre, at de har været gift i 70 år	i går kunne det aldrende ægtepar på henholdsvis 97 og 90 år fejre noget så sjældent som jernbryllup. 70 års bryllupsdag med 70 gæster til aftenfest, selvfølgelig	same_sense	1756
salg	Påsken er højsæson for salg af fast ejendom	Staten kommer til at sætte penge til på salget af Niels Klim og Peder Paars og affæren med Ask og Urd	same_sense	3083
feminist	at være feminist var — og er — for mig ganske enkelt en delmængde af dét at være demokrat	Mange misforstår ordet feminist eller feminisme, og har den fejlagtige antagelse, at hvis man er feminist, er man imod mænd	same_sense	999
titurskort	Billigst er igen Børkop Svømmehal, hvor prisen daler til 18 kroner for en voksen med et titurskort	DSB fastfryser sidste års priser på pendlerkort og 10-turskort. — Det kommende år står i kundeloyalitetens navn hos DSB, hvor vi vil sætte pendlere og trofaste kunder endnu mere i centrum	same_sense	4751
anvendelse	I nyere tid har enzymer .. fundet anvendelse ved fremstilling af f.eks. sukker og frugtsaft	Risiko ved anvendelse af p-piller diskuteres med mellemrum i dagspressen	same_sense	162
prøverum	der var lange rækker af .. ventende foran prøverummene. Januarudsalget er begyndt for alvor	Jeg står i prøverummet i H&M og ser mig selv i spejlet, og jeg er helt gasblå i hovedet af anstrengelse og varme og prøver at få de bukser op, som jeg slet ikke kan passe	same_sense	2895
melon	meloner er noget af det bedste, man kan få på en varm sommerdag	Anret hummerkødet på salatblade sammen med asparges, tomater og melon	same_sense	2236
får	Nordboerne havde også får og geder. Fra fårene fik man uld til klæder	fårene bræger af irritation over deres spændte bryster	same_sense	1272
råstyrke	vandringer over 20 kilometer i hårdt og kuperet terræn med 7-9 kilo på ryggen kræver en vis råstyrke	Det har krævet betydelig råstyrke at forene rollen som mor til to med at være en ambitiøs forsker	same_sense	3080
lige	Vi vil komme til at savne Magda i vores klub — hendes lige findes ikke	30 år tidligere havde han og hans lige sendt deres børn til købstædernes små privatskoler; nu valgte de folkeskolen	same_sense	2045
metafysik	Metafysik er bl.a. at spørge efter tilværelsens evige og konstante elementer og efter forandringens årsager	med det videnskabelige livssyns indtog i forrige århundrede skilte man fysikken fra metafysikken og efterlod den til en støvet og hensygnende folkekirke	same_sense	2264
beholdning	Foreningen har dog lidt kapital. I alt en beholdning på cirka 100.000 kr.	Husets beholdning af vin var blevet drukket	same_sense	274
måtte	alle tørrede deres fødder af på måtten, inden de gik op ad trappen	Manden, der har kjortelen på, sidder i skrædderstilling på en måtte af strå	same_sense	2447
akse	Jorden roterer en gang om sin akse på 24 timer	Billedet er bygget op om to akser, en vandret og en lodret. Den lodrette akse midt i billedet adskiller de frelste og de fordømte	same_sense	55
cirkulære	Cirkulæret er udelukkende en generel tjenestebefaling til underordnede myndigheder	Fodboldforbundets cirkulære siger klart, at spillere er forpligtet til at stille op for deres land	same_sense	619
affaldsstof	De stoffer, der ikke kan nedbrydes i kroppen, kaldes affaldsstoffer og udskilles fra kroppen gennem afføring og urin	Giftige affaldsstoffer fra industrien som fenol .. kan fjernes fra både grundvand og spildevand med en ny danskudviklet metode	same_sense	21
narkotikum	Børn født af narkomaner er selv fysisk afhængige af narkotika fra fødslen og får abstinenser	Harlem er desværre en meget ødelagt bydel i dag. Det er narkotikaen, der har ødelagt den, og den får folk til at vandre rundt som zombier	same_sense	2454
udsalg	Kom op af starthullerne!! Sikke et udsalg vi har. Alt til 1/2 pris	Udsalget er det eneste rigtige tidspunkt at købe sko på	same_sense	3966
fødselsforberedelse	fødselsforberedelse er nødvendigt for at undgå unødvendige og potentielt skadelige indgreb og komplicerede fødsler	Da jeg fik min søn, var jeg alene om det og havde en veninde med til fødselsforberedelse	same_sense	1255
nederdel	Spændende ser Lise ud i den ankellange nederdel i bredder med masser af vidde	Kjolen med sort top og prikket nederdel koster ca. 598 kr.	same_sense	2472
herpetolog	Dengang jeg skulle tage min afsluttende eksamen som herpetolog, var min værelseskammerat så misundelig over en ny art tudse, jeg havde opdaget, at han stjal og spiste det eneste eksemplar, jeg havde	På den årlige øgledag kan herpetologerne høre foredrag, der opdaterer dem om det nyeste om de skællede små, men de kan også købe, sælge og bytte øgler og sikre sig nogle friske kakerlakker, bananfluer, orm og andet lækkert fodersupplement	same_sense	4655
forventning	Juline strålede af forventning, men Melissa havde en betænkelig mine på	man har forventninger om 2-300 daglige besøgende i sommersæsonen	same_sense	1210
tåbe	det [betragtes ikke] som kriminelt at snyde i skat. Det er faktisk noget, man praler af, og de, der ikke gør det, betragtes nærmest som tåber	alle steder har de fuldbårne tåber et særligt talent for at bringe sig selv i fokus og overdøve de mere forstandige	same_sense	3940
trance	Arturo vækkede Stella af trancen med et rapt lille håndklap, og Stella åbnede øjnene .. uden nogen erindring om det, hun havde sagt under hypnosen	Jeg hørte kun efter med et halvt øre til faderens propagandataler, svarede nærmest i trance ja og amen til alt, hvad han sagde	same_sense	3877
amatørplan	jeg brugte alle mine ungdomsår på at dyrke teatret på amatørplan	Når danske sportsstjerner går fra amatørplanet til professionalisme, ender det også ofte med en udenlandsk adresse	same_sense	4513
tvivl	Fru Kristensen er ikke i tvivl. Hun tror på Gud og et liv efter døden	Det danske nej såede tvivl om, hvorvidt den europæiske monetære union ville blive gennemført	same_sense	3914
stout	friske, rå østers er fantastiske sammen med nogle stouts, ligesom stout og chokolade kan nydes når som helst	Alle stouter er portertyper, men ikke alle portere er stouter — kun de stærke	same_sense	3602
brudekjole	Jeg har fundet min brudekjole, den er så smuk, og jeg kan næsten ikke vente med at få den på	En brudekjole kan kræve 30 til 40 meter stof og tage op til fem måneder at sy	same_sense	468
delete	Når man trykker Ctrl-Alt-Delete får man en oversigt over indlæste programmer	Kommandoen Control — Alt — Delete genstartede computeren	same_sense	4384
modkandidat	Bispevalget i Ribe er afgjort. Niels Holm fik 1.156 stemmer, modkandidaten Mogens Jensen 548	det ser ud til at hendes efterfølger bliver valgt uden modkandidat	same_sense	2376
gratisavis	fremtiden er den annoncebetalte gratisavis	Gratisaviserne er en hån mod de rigtige avisers læsere, der ønsker fordybende journalistik, kronikker, debat, kulturstof, anmeldelser og provokerende klummer	same_sense	4601
skandale	Det forholder sig ofte sådan, at jo mere man graver i en skandale, jo mere skidt kommer der frem. Denne sag er ingen undtagelse	Hvis folk finder ud af det her, bliver der en forfærdelig skandale	same_sense	3303
bællevin	prøv ikke at gemme de billige flasker fra supermarkedet, de holder lige så dårligt som bællevin i pap	Når man ser bort fra supermarkedernes udbud af billige bællevine, er Tyskland ikke ret godt repræsenteret på det danske vinmarked	same_sense	4487
boldspiller	selv om vi var svømmere eller boldspillere eller hvad vi var .. skulle vi have gymnastik også	Hun har enormt tunge slag. Men hun har også altid været en boldspiller med mange aspekter i spillet, blandt andet stopbolde og generel finesse	same_sense	363
virvar	Gaden frembød et myldrende virvar af mennesker, køretøjer, heste og bærestole	Hendes indre var et virvar af modstridende følelser	same_sense	4120
ord	Stella er det latinske ord for "stjerne"	Når vi taler om forskning, er det vigtigt at gøre sig klart, at ordet dækker over meget forskelligartede aktiviteter	same_sense	2586
popsanger	ved premieren gav anmelderne for en gangs skyld den populære popsanger skidt kritik	Hun begyndte som popsanger, men har siden sunget både viser og jazz	same_sense	4414
rute	Skiltene viser, hvilken vej man bør køre, hvis man ønsker en naturskøn rute	Et lille privat flyselskab, Sun-Air, ser optimistisk på ruten Århus-Oslo, som SAS opgav	same_sense	3064
manifest	Surrealismens udgangspunkt var dadaismen og dens program formuleredes 1924 i et manifest af André Breton	Historien om 'Vaginamonologerne' er både et amerikansk kvindepolitisk manifest og en humoristisk provokation	same_sense	2198
byte	En byte svarer til den datamængde, man typisk bruger til at lagre et bogstav eller et lille tal på en harddisk eller en USB-stick	Traditionelle harddiske kan lagre omtrent 30 gigabytes (30 milliarder bytes) på, hvad der svarer til rumfanget af en sukkerknald	same_sense	566
principrytter	Jeg forsvarede principperne om DR's uafhængighed, men principryttere er jo ofte irriterende	Diskussion af principper strider mod dansk pragmatisme. Man udsætter sig for at blive kaldt principrytter	same_sense	2871
tak	der blev rettet en varm tak til hende for indsatsen	jeg er blandt dem der skylder dig tak	same_sense	3751
disko	Soul og disco standardiserede et bestemt tempo og strømlinede en bestemt sound	hun dansede disco til den lyse morgen	same_sense	785
gyros	Til frokost vil jeg lære danskerne at spise små, græske specialiteter såsom pita med gyros, pita med souvlaki eller pita med bifteki, siger Jiorgos Vasileion	Slagteren serverer græsk gyros til 90 kr. pr. kg. Skært marineret, lammekød med rød og grøn peber samt friske sommerløg	same_sense	4246
sammensmeltning	Opera er en sammensmeltning af sang, musik og teater til en højere enhed	Danisco [opstod] ved en sammensmeltning af tre betydningsfulde selskaber	same_sense	3124
troskab	En samurai skyldte sin herre troskab til døden	For dem er friheden også en moralsk sag. Et spørgsmål om troskab over for det, der virkelig har værdi	same_sense	3904
kok	Det værste ved at være kok er, at ens venner næsten ikke tør invitere en til middag	det er knap så kendt, at mesterfrisøren også er en fremragende kok	same_sense	1830
mirakel	Romanen udspiller sig i en overgangstid, hvor troen på djævlebesættelse og mirakler endnu er levende	Det er et mirakel, at hun ikke fik hovedet skudt af	same_sense	2340
