target	first_context	second_context	label	comment	pos	first_word	first_position	second_word	second_position	
ambulance	På sidstedagen af turen til Livigno brækkede den fireårige sit skinneben. Han blev kørt til den nærmeste klinik med ambulance	Med åbent kraniebrud blev han, i en ambulance med hylende sirener, kørt til hospitalet og opereret	same_sense	80	sb.	ambulance	(116, 125)	ambulance	(36, 45)	1
amfetamin	Amfetaminen påvirker hjernen. Med større doser kan man blive aggressiv, paranoid, mistænksom og angst	Amfetamin kaldes bl.a. for speed, fattigmands-coke, amf, splat, ræsermel, og man snakker om at sniffe, tage en streg/snitte/bane	same_sense	83	sb.	Amfetaminen	(0, 11)	Amfetamin	(0, 9)	1
analyse	Andre forskere gik nu i gang med en kritisk analyse af de skandinaviske resultater	Jeg vil gå i dybden med analyse af et værk af Leif Panduro	same_sense	84	sb.	analyse	(44, 51)	analyse	(24, 31)	1
anarki	Anarki har overtaget i Østtimor. De grupper, der tabte afstemningen om områdets status, deltager nu i et sandt orgie af plyndringer, drab og afbrændinger	I et tilfælde var der tale om rent anarki. Patienten tog kun medicinen, når det passede hende	same_sense	87	sb.	Anarki	(0, 6)	anarki	(35, 41)	1
anciennitet	Manden havde tre års anciennitet som hospitalslæge	Værelserne er ret forskellige, og man har efter anciennitet ret til at flytte internt, når noget bliver ledigt	same_sense	108	sb.	anciennitet	(21, 32)	anciennitet	(48, 59)	1
andenplads	Jeg er ikke tilfreds, jeg vil vinde. Andenpladser samler jeg ikke på	vi er røget ned fra en andenplads til en fjerdeplads, når størrelsen af forbruget sammenlignes i de nordiske lande	same_sense	109	sb.	Andenpladser	(37, 49)	andenplads	(23, 33)	1
anførselstegn	Citater skal være ordrette og sættes i anførselstegn	Egentlige "menneskeædende" arter er der 5-10 af. Jeg skriver menneskeædende i anførselstegn, for der er ikke nogen hajer, der lever af mennesker	same_sense	110	sb.	anførselstegn	(39, 52)	anførselstegn	(78, 91)	1
angst	Jeg er bange, hvisker Simone og omfavner Tom. I angst knuger de sig ind til hinanden	de tænder ikke bålet af angst for, at røgen skal røbe dem	same_sense	111	sb.	angst	(48, 53)	angst	(24, 29)	1
angstneurose	Han led af angstneuroser og blev, som turneringen skred frem, mere og mere bange for ikke at kunne slå til	Angstneurosens vigtigste udtryk er naturligt nok angstanfald, som kommer pludseligt og uventet — dag eller nat — med stærk hjertebanken og hurtig, hoppende, uregelmæssig puls	same_sense	112	sb.	angstneuroser	(11, 24)	Angstneurosens	(0, 14)	1
ankel	i Bilbao spillede vi på en opblødt bane i mudder til anklerne	han trådte forkert, og straks svulmede den ene ankel op	same_sense	115	sb.	anklerne	(53, 61)	ankel	(47, 52)	1
anklager	Både anklager og forsvarer kærede kendelsen til landsretten	Anklageren begærede den sigtede fængslet i 13 dage	same_sense	116	sb.	anklager	(5, 13)	Anklageren	(0, 10)	1
anløbsbro	Skibene lægger til ved en anløbsbro med direkte forbindelse til øen, så passagererne har kun få minutters gang fra skib til alle forlystelserne	hun hoppede i land og hjalp ham med at fortøje båden ved en lille anløbsbro	same_sense	117	sb.	anløbsbro	(26, 35)	anløbsbro	(66, 75)	1
anmeldelsespligt	Vi har en bestemmelse i straffeloven, hvor udgangspunktet er, at vi ikke har anmeldelsespligt. Men der er undtagelser. Blandt andet, hvis man kan afværge, at der bliver begået meget alvorlige forbrydelser	Sidste år blev der, ifølge et notat fra Økonomi- og Erhvervsministeriet, bygget knap 10.000 garager og carporte omfattet af anmeldelsespligten	same_sense	118	sb.	anmeldelsespligt	(77, 93)	anmeldelsespligten	(124, 142)	1
anmodning	Anmodning om sygebesøg sker telefonisk mellem kl. 8.00 og 9.00 mandag til fredag	Medlemmernes sommerferie er efter anmodning fra statsministeren udskudt	same_sense	119	sb.	Anmodning	(0, 9)	anmodning	(34, 43)	1
annonce	Jeg indrykkede en annonce i et par københavneraviser, og han reflekterede på en af dem	har du et budskab, er vi meget glade for, at du vil støtte magasinet ved at bruge os og indrykke annoncer hos os	same_sense	122	sb.	annonce	(18, 25)	annoncer	(97, 105)	1
anorak	I min barndom gik vi alle sammen i kassebukser, anorak og træskostøvler	Hun fryser ikke, har varme sælskindsbukser på, anorak, kamikker, huen og lufferne	same_sense	128	sb.	anorak	(48, 54)	anorak	(47, 53)	1
anseelse	indbyggerne .. kunne regne med at blive dømt efter loven uden hensyn til den enkeltes anseelse	Mange lader deres liv styre af ting og jagten på anseelse	same_sense	134	sb.	anseelse	(86, 94)	anseelse	(49, 57)	1
anstandsdame	Hun besøgte ham ved flere lejligheder, med og uden anstandsdamer, som hendes far krævede	Anstandsdamen er — eller var — som regel en voksen dame, der fulgte en ung pige af god familie og sørgede for, at den unge pige optrådte med anstand uden at vække forargelse	same_sense	135	sb.	anstandsdamer	(51, 64)	Anstandsdamen	(0, 13)	1
anstrengelse	lægerne advarede hende mod enhver form for anstrengelse	Det krævede en næsten overmenneskelig anstrengelse ikke at vise, hvad jeg følte	same_sense	138	sb.	anstrengelse	(43, 55)	anstrengelse	(38, 50)	1
anstød	middelklassen i USA kan finde på at tage anstød af mine film, f.eks. af en scene med et tungekys	[Jesus undså sig ikke] for at helbrede syge på selve Sabbaten. Også det vakte anstød. Han fulgte ikke loven, sagde man	same_sense	141	sb.	anstød	(41, 47)	anstød	(78, 84)	1
ansvar	Forretningsudvalget forestår foreningens daglige ledelse under ansvar over for hovedbestyrelsen	Jeg ved godt, at det var dumt af mig at lade mig udskrive på eget ansvar fra hospitalet i mandags	same_sense	142	sb.	ansvar	(63, 69)	ansvar	(66, 72)	1
ansættelse	Morten og Søren V. Pedersen har begge fået ansættelse inden for socialvæsenet i Århus Kommune	Danskerne har fået mere indflydelse på deres arbejde og mere sikkerhed i ansættelsen	same_sense	143	sb.	ansættelse	(43, 53)	ansættelsen	(73, 84)	1
antal	der .. kræves et antal på tolv deltagere for oprettelse af et hold	Berammede tvangsauktioner falder i antal	same_sense	144	sb.	antal	(17, 22)	antal	(35, 40)	1
antropologi	Antropologien anslår i dag, at det moderne menneskes direkte forfædre skilte sig ud fra en fælles forfader til chimpansen et sted mellem 4 og 8 millioner år siden	I antropologien bruger man begrebet magi om den måde, mennesker håndterer de ting på, som de ikke forstår og ikke kan kontrollere	same_sense	147	sb.	Antropologien	(0, 13)	antropologien	(2, 15)	1
anvendelse	I nyere tid har enzymer .. fundet anvendelse ved fremstilling af f.eks. sukker og frugtsaft	Risiko ved anvendelse af p-piller diskuteres med mellemrum i dagspressen	same_sense	162	sb.	anvendelse	(34, 44)	anvendelse	(11, 21)	1
april	Han .. tænkte ikke specielt på at det var den første onsdag i april. Men det var april godt nok, regn og sol på samme tid	så oprandt den 9. april 1940, da Danmark og Norge blev overfaldet og besat af tyskerne	same_sense	163	sb.	april	(62, 67)	april	(18, 23)	1
araknofobi	Jeg ved egentlig ikke, hvor min araknofobi — min frygt for edderkopper — stammer fra, for jeg har faktisk aldrig haft ubehagelige oplevelser med edderkopper	I modsætning til socialfobierne er en enkeltfobi som araknofobi forholdvis nem at slippe af med igen fx ved kognitiv terapi	same_sense	164	sb.	araknofobi	(32, 42)	araknofobi	(53, 63)	1
arbejdsbord	Sørg for, at arbejdsbordet i kontorrummet står ud fra vinduesvæggen, så der kan sidde en på hver side af bordet	Spænd skruestikken fri af arbejdsbordet og børst løst støv og savsmuld væk	same_sense	170	sb.	arbejdsbordet	(13, 26)	arbejdsbordet	(26, 39)	1
arbejdsrum	sønnens værelse havde Eva indrettet til arbejdsrum for sig selv. Dér havde hun sin symaskine og sit tegnebord stående	Da jeg kom til mit arbejdsrum, "tegnestuen" hvor vi er 4 der arbejder, var der sat flag og gaver frem	same_sense	171	sb.	arbejdsrum	(40, 50)	arbejdsrum	(19, 29)	1
ark	Digtet fyldte hele det lille lyserøde ark papir, og det var skrevet med omhyggeligt prentede tegn	Akvarelpapir fås både i løse ark og i blokke i forskellige formater	same_sense	172	sb.	ark	(38, 41)	ark	(29, 32)	1
arkitekt	arkitekterne fremlagde deres plan for bebyggelsen	I Kirk Telecoms udviklingsafdeling er der .. fornylig ansat en ung arkitekt og industriel designer	same_sense	173	sb.	arkitekterne	(0, 12)	arkitekt	(67, 75)	1
armhule	Andreas står midt ude i Uggerby Å med vand op til armhulerne	Det er kun to procent af europæerne, der ikke kan få ildelugtende armhuler	same_sense	174	sb.	armhulerne	(50, 60)	armhuler	(66, 74)	1
arnested	Filmskolen er arnested for dansk film. Her spirer filmtalenterne og fremtidens film, som vi er kendt for i hele verden	Badeanstalterne blev .. ramt af kristen vrede, fordi de kunne være arnested for syndig omgang mellem kønnene	same_sense	177	sb.	arnested	(14, 22)	arnested	(67, 75)	1
arving	Er flere arvinger interesseret i den samme ting, skal der ske lodtrækning	Gisselfeld arves fra far til ældste søn eller nærmeste mandlige arving	same_sense	180	sb.	arvinger	(9, 17)	arving	(64, 70)	1
asparges	Skyl aspargeserne godt og skær et godt stykke af "foden"	Friskstukne asparges er en udsøgt delikatesse	same_sense	190	sb.	aspargeserne	(5, 17)	asparges	(12, 20)	1
aspargessuppe	Fornylig var min mand og jeg ude at spise og der fik vi en aspargessuppe, jævn, gul og pragtfuld	Retterne skifter hele tiden, og lige nu står den på sol og sommer med kold aspargessuppe med parmesan til forret	same_sense	191	sb.	aspargessuppe	(59, 72)	aspargessuppe	(75, 88)	1
aspekt	et centralt aspekt af velfærd er oplevelsen af ren luft, rent vand og en mangfoldig natur	Set ud fra dette aspekt, er det den traditionelle planteforædling, der skal lovgives for, og ikke gensplejsning	same_sense	192	sb.	aspekt	(12, 18)	aspekt	(17, 23)	1
assistance	Statsisbryderen "Thorbjørn" sættes onsdag ind til assistance for skibsfarten	politipatruljen måtte tilkalde assistance, da der blev gjort forsøg på at befri den anholdte	same_sense	193	sb.	assistance	(50, 60)	assistance	(31, 41)	1
ateisme	Den skeptiske ateisme kender vi mest til i Vesten. Den er skeptisk, fordi den går ud fra, at der ikke findes nogen absolut sandhed	Ateisme nåede [brødrene Brandes] uden hindringer frem til som en slags ideologi	same_sense	194	sb.	ateisme	(14, 21)	Ateisme	(0, 7)	1
atlet	hans dopingsag overbeviste ham om, at atleter godt kan sætte rekorder uden doping	Man skal faktisk have en engels tålmodighed og en atlets styrke for at tiltvinge sig en plads ved de bugnende borde	same_sense	197	sb.	atleter	(38, 45)	atlets	(50, 56)	1
atomkraftværk	Der er i alt 195 fungerende reaktorer på atomkraftværker i Europa. Frankrig er Europas største atomnation med i alt 58 reaktorer fordelt på 19 atomkraftværker	Natten til lørdag den 26. april 1986 sker en ulykke på det sovjetiske atomkraftværk i Tjernobyl, i det nordlige Ukraine	same_sense	198	sb.	atomkraftværker	(41, 56)	atomkraftværk	(70, 83)	1
attest	Der kræves dokumentation for sygdommens varighed i form af attest fra sygehuset	Blanket til anmodning om navneændring fås på kirkekontoret. Originale attester skal medbringes	same_sense	199	sb.	attest	(59, 65)	attester	(70, 78)	1
auktion	hun køber gammelt sølv og gamle smykker på auktioner, hvorefter hun sætter det i stand og sælger det igen	alle medbringer en pakke til en værdi af ca. 25 kr., som der bliver holdt auktion over, og alle pengene går til vores klubkasse	same_sense	200	sb.	auktioner	(43, 52)	auktion	(74, 81)	1
autisme	Børn med autisme har brug for hjælp til, hvordan man gør alt. De samler ikke social information op og er ikke i stand til at tolke den	Videnskaben har i en årrække vidst, at autisme i høj grad er arvelig — helt op til 80 procent af årsagerne til lidelsen kan være arvelige faktorer	same_sense	201	sb.	autisme	(9, 16)	autisme	(39, 46)	1
autist	Andrea er infantil autist, hvilket blandt andet betyder, at hun har særligt brug for trygge og forudsigelige rammer i hverdagen	Som autist er man i højere grad end andre børn i risikozonen for at starte sin skolegang som mobbeoffer	same_sense	211	sb.	autist	(19, 25)	autist	(4, 10)	1
automobil	han går på fortovet på Strøget, godt trykket ind mod husmurene for ikke at blive ramt af automobiler eller omnibusser	Når du køber et moderne automobil, fraskriver du dig mulighederne for at gå ind i de ædlere dele	same_sense	217	sb.	automobiler	(89, 100)	automobil	(24, 33)	1
autorisation	Enhver kan kalde sig kiropraktor i dag. Vi vil have titlen beskyttet, så kun de uddannede kan få autorisation	Der kræves en autorisation som elektroinstallatør for at kunne drive en el-installationsforretning	same_sense	218	sb.	autorisation	(97, 109)	autorisation	(14, 26)	1
badevægt	Det vigtigste redskab til vurdering af, om man er overvægtig, er ikke badevægten, men et spejl	BMI er et meget groft mål, og det tager ikke hensyn til, om det er fedt eller muskler, der får viseren på badevægten til at skyde mod højre	same_sense	219	sb.	badevægten	(70, 80)	badevægten	(106, 116)	1
bagbo	Min bagbo er bl.a. musiker og har bygget sit baghus om til studie og øvelokale	Jeg har en skrænt i min baghave, som er i skel med min bagbo	same_sense	220	sb.	bagbo	(4, 9)	bagbo	(55, 60)	1
bagindgang	dørvogteren nægtede hende adgang. Panikslagen løb hun rundt om bygningen for at finde en bagindgang	Den nye butik har godt nok stadig en bagindgang, der vender ud mod torvet, men forindgangen og ikke mindst udstillingsvinduet vender ud mod Møllergade	same_sense	221	sb.	bagindgang	(89, 99)	bagindgang	(37, 47)	1
balalajka	Gruppen trakterer de traditionelle russiske folkemusikinstrumenter balalajka og domra	Som akkompagnement til turen kan man vælge mellem toghjulenes monotone rumlen, russisk sukkerpop og traditionelle toner fra en inciterende balalajka	same_sense	224	sb.	balalajka	(67, 76)	balalajka	(139, 148)	1
balje	Opvask foregår i en balje med varmt vand	Sydpå kan man af og til se små frugttræer plantet i baljer på terrasser	same_sense	230	sb.	balje	(20, 25)	baljer	(52, 58)	1
balle	Irenes krop var utrolig flot. Sikke hofter og baller den kvinde havde	Kent, jeg har altid så godt kunnet li' dine balder. De er så stramme og faste i det	same_sense	231	sb.	baller	(46, 52)	balder	(44, 50)	1
barnedåb	Jeg har altid syntes, at en gudstjeneste var særlig vellykket, hvis der var barnedåb	Lille Mads' barnedåb blev en dejlig fest for os alle sammen. En rigtig familiefest	same_sense	232	sb.	barnedåb	(76, 84)	barnedåb	(12, 20)	1
barnefødsel	I dag sker cirka otte procent af børnefødslerne i Danmark efter fertilitetsbehandling eller kunstig befrugtning	At udskyde børnefødslerne til længere i karriereforløbet gør kvinder mindre sårbare på arbejdsmarkedet og sikrer, at de har penge til at betale sig fra husarbejde og børnepasning	same_sense	233	sb.	børnefødslerne	(33, 47)	børnefødslerne	(11, 25)	1
bassist	Sej jysk bassist får jazzjournalisternes pris	Inden karrieren for alvor tog fart havde Claypool været til audition som bassist hos Metallica, men hans vanvittige stil passede ikke ind i bandet	same_sense	248	sb.	bassist	(9, 16)	bassist	(73, 80)	1
beautyboks	En enorm beautyboks ligger på bordet, hvor syv mand står og sminker kroppen med store blodige sår og åbne brystbrud. De er figuranter i den største PET-øvelse nogensinde	kjoler pakkes i poser, der holder på form og facon. Hårbånd og beautybokse bakses på plads i den pressede kuffert	same_sense	249	sb.	beautyboks	(9, 19)	beautybokse	(63, 74)	1
beboer	ved større boligbebyggelser [vil der] blive opstillet containere, hvor beboerne skal lægge de gamle aviser	På alderdomshjemmet har beboerne .. indsamlet protest-underskrifter mod afskaffelsen af den hjemmelavede middagsmad	same_sense	259	sb.	beboerne	(71, 79)	beboerne	(24, 32)	1
bedste	Margrethe kedede sig hos bedste Thiede, især om søndagen, når hele familien samledes til middagsmad	Vi slutter af om fredagen med kaffe og gammeldaws æblekage med børnenes bedster/older	same_sense	262	sb.	bedste	(25, 31)	bedster	(72, 79)	1
befolkning	Tanzania har en befolkning på 24 mio. indbyggere	Da man besluttede, at der skulle fri abort i Danmark, da var der ikke flertal for det ude i befolkningen	same_sense	263	sb.	befolkning	(16, 26)	befolkningen	(92, 104)	1
beføjelse	Ifølge forslaget vil præsidenten få beføjelser til at udnævne ministre	Det ligger uden for mine beføjelser at fyre Viktor	same_sense	264	sb.	beføjelser	(36, 46)	beføjelser	(25, 35)	1
begejstring	sommetider koger jeg over af begejstring og må simpelthen have nogen at dele den med	Tilskuerne var vilde af begejstring	same_sense	265	sb.	begejstring	(29, 40)	begejstring	(24, 35)	1
begravelse	Dem der er med til begravelsen har blomster med, som bliver lagt på kisten og på gulvet ved siden af	Det, der betyder så meget i denne sammenhæng er ikke, om forældrene vælger begravelse som jordfæstelse eller brænding	same_sense	266	sb.	begravelsen	(19, 30)	begravelse	(75, 85)	1
begreb	man kan ikke have et begreb f.eks. om hesten, hvis der ikke som forudsætning findes en række empiriske fænomener, dvs. faktiske heste	der findes jo et begreb, der hedder hadegaver. Hadegaver det er sådan nogle rædsler, man giver nogen lidt for sjov	same_sense	269	sb.	begreb	(21, 27)	begreb	(17, 23)	1
begrundelse	Hardy Hansens begrundelse for lønkravet på 7 % er, at priserne er steget og har udhulet reallønnen	Dagpengene ophører med den begrundelse at 2-årsperioden er udløbet	same_sense	270	sb.	begrundelse	(14, 25)	begrundelse	(27, 38)	1
begyndelsesbogstav	Sproget og stilen i digtet er gammeldags. Alle substantiverne er skrevet med stort begyndelsesbogstav	Det nye statssamfund af uafhængige stater kalder vi SNG, idet vi tager begyndelsesbogstaverne fra de russiske [ord] Sodrusjestvo Nesavisimykh Gosudarsty	same_sense	271	sb.	begyndelsesbogstav	(83, 101)	begyndelsesbogstaverne	(71, 93)	1
begynder	USA byder på verdens bedste skiløb, og det uanset om du er begynder eller vovehals	for begynderne er forårsblomstrende løg noget af det letteste at have med at gøre	same_sense	272	sb.	begynder	(59, 67)	begynderne	(4, 14)	1
beholder	Hæld aldrig kemikalier i andre beholdere end de oprindelige	vandet, der trækkes ud af det våde tøj, opsamles i en beholder, der kan tages ud og tømmes	same_sense	273	sb.	beholdere	(31, 40)	beholder	(54, 62)	1
beholdning	Foreningen har dog lidt kapital. I alt en beholdning på cirka 100.000 kr.	Husets beholdning af vin var blevet drukket	same_sense	274	sb.	beholdning	(42, 52)	beholdning	(7, 17)	1
bekendt	Som 15-årig kom han i lære som murer hos en bekendt af forældrene	Jeg har ingen venner. Kun bekendte	same_sense	275	sb.	bekendt	(44, 51)	bekendte	(26, 34)	1
belejring	Under Karl Gustav-krigene 1657-60 blev Danmark løbet over ende, men København holdt stand under 22 måneders belejring	hun [begyndte] at gøre kur. Det varede flere uger før jeg gav efter for hendes belejring	same_sense	276	sb.	belejring	(108, 117)	belejring	(79, 88)	1
bemyndigelse	skatteministeren får bemyndigelse til at fastsætte særlige regler om afgiftsfritagelse	Jeg fik bemyndigelse til at underskrive direktørens egne checks	same_sense	277	sb.	bemyndigelse	(21, 33)	bemyndigelse	(8, 20)	1
benediktiner	Benediktinerne var de første, der kom til Danmark engang sidst i 1000-tallet	Frugterne af deres arbejde kan beses i klostrets vinkælder, som absolut er et besøg værd, for benediktinerne er fremragende vinbønder	same_sense	278	sb.	Benediktinerne	(0, 14)	benediktinerne	(94, 108)	1
berufsverbot	I 2010 modtog han en dom på seks års fængsel og 20 års berufsverbot i Iran på grund af sine film og holdninger, der er stærkt kritiske over for Irans præsident	Konsekvent blev berufsverbot brugt til at skille sig af med offentligt ansatte, der var medlemmer af det lille sekteriske og strengt stalinistiske vesttyske kommunistparti	same_sense	279	sb.	berufsverbot	(55, 67)	berufsverbot	(16, 28)	1
