idx	target	pos	first_context	first_word	first_position	second_context	second_word	second_position	label
59	afslutning	sb.	regeringen forventer, at denne sag hurtigt bliver bragt til afslutning	afslutning	(60, 70)	Eksamensstilen er afslutningen på arbejdet med skriftlig fremstilling	afslutningen	(18, 30)	different_sense
81	afsnit	sb.	"I morgen er det uigenkaldeligt sidste gang vi skal følge livet i Korsbæk. TV viser 24. og sidste afsnit af ""Matador"""	afsnit	(97, 103)	Gudstjenesten kan deles op i to afsnit. Den første del er ordets gudstjeneste .. Den anden del er nadveren	afsnit	(32, 38)	different_sense
79	afsnit	sb.	"I morgen er det uigenkaldeligt sidste gang vi skal følge livet i Korsbæk. TV viser 24. og sidste afsnit af ""Matador"""	afsnit	(97, 103)	Amtet ønsker etableret et lukket ungdomspsykiatrisk afsnit med 8 sengepladser på Amtssygehuset i Glostrup	afsnit	(52, 58)	different_sense
83	afsnit	sb.	[kvinderne] gik gennem deres egen port, og de deltog afsondret i deres eget afsnit i moskéen	afsnit	(76, 82)	[Det første samleje] bliver måske en dejlig oplevelse, fordi du er sammen med den, du holder af, og fordi I sammen har indledt et nyt afsnit i jeres liv	afsnit	(134, 140)	different_sense
88	afstand	sb.	Vi passerede skibene i en afstand af ca. 40 meter	afstand	(26, 33)	Brevduer kan finde hjem over lange afstande	afstande	(35, 43)	same_sense
89	afstand	sb.	afstanden mellem regeringen og oppositionen er mindsket	afstanden	(0, 9)	Denne afstand mellem løfter og realiteter kalder jeg svindel	afstand	(6, 13)	same_sense
97	afstand	sb.	brugen af fagsprog skaber en afstand mellem læge og patient	afstand	(29, 36)	Denne afstand mellem løfter og realiteter kalder jeg svindel	afstand	(6, 13)	different_sense
91	afstand	sb.	Brevduer kan finde hjem over lange afstande	afstande	(35, 43)	brugen af fagsprog skaber en afstand mellem læge og patient	afstand	(29, 36)	different_sense
92	afstand	sb.	Vi passerede skibene i en afstand af ca. 40 meter	afstand	(26, 33)	afstanden mellem regeringen og oppositionen er mindsket	afstanden	(0, 9)	different_sense
98	afstemning	sb.	Ved afstemningen i 1972 stemte et flertal af det danske folk os ind i EF	afstemningen	(4, 16)	Der er et godt kraftoverskud i Tempra'en med de 115 hk, og afstemningen af affjedringen virker umiddelbart fornuftig	afstemningen	(59, 71)	different_sense
99	aftale	sb.	Jeg havde en aftale med ham om, at han skulle vente på mig	aftale	(13, 19)	Regeringen må leve op til aftalen om at sikre praktikplads til alle unge	aftalen	(26, 33)	same_sense
100	aftale	sb.	"Pludselig brød han op. ""Jeg må gå, jeg har en aftale,"" sagde han"	aftale	(46, 52)	Der er konsultation daglig efter aftale, samt åben konsultation mand.-fred. kl. 16-17	aftale	(33, 39)	same_sense
104	aftale	sb.	Regeringen må leve op til aftalen om at sikre praktikplads til alle unge	aftalen	(26, 33)	Der er konsultation daglig efter aftale, samt åben konsultation mand.-fred. kl. 16-17	aftale	(33, 39)	different_sense
103	aftale	sb.	Regeringen må leve op til aftalen om at sikre praktikplads til alle unge	aftalen	(26, 33)	"Pludselig brød han op. ""Jeg må gå, jeg har en aftale,"" sagde han"	aftale	(46, 52)	different_sense
101	aftale	sb.	Jeg havde en aftale med ham om, at han skulle vente på mig	aftale	(13, 19)	"Pludselig brød han op. ""Jeg må gå, jeg har en aftale,"" sagde han"	aftale	(46, 52)	different_sense
111	afvisning	sb.	Afvisning af asylansøgere fra Irak er et yderst sensibelt tema og kræver stor respekt fra politikerne, når familien skal sendes tilbage til håbløsheden	Afvisning	(0, 9)	Danmark har undskyldt for flytningen af Thuleboerne, afvisningen af tyske krigsflygtninge	afvisningen	(53, 64)	same_sense
106	afvisning	sb.	både forskere og politikere .. mener, at afvisningen af de højtuddannede flygtninge og indvandrere er til stor skade for såvel integrationen som for landets økonomi	afvisningen	(41, 52)	afvisning af kendte hooligans eller personer, der betragtes som en trussel mod sikkerheden .. er nogle af de midler, som myndigheder og fodboldforbund vil anvende i sikkerhedens navn	afvisning	(0, 9)	same_sense
105	afvisning	sb.	Han har klaget til Ombudsmanden over Den sociale Ankestyrelses afvisning af at udbetale hans erstatning	afvisning	(63, 72)	Det her er en god anledning til at diskutere dommerudvalgets egenrådighed og totale afvisning af al kritik	afvisning	(84, 93)	same_sense
120	afvisning	sb.	Han har klaget til Ombudsmanden over Den sociale Ankestyrelses afvisning af at udbetale hans erstatning	afvisning	(63, 72)	Han bejler til præstens datter og får faderens accept men datterens totale afvisning	afvisning	(75, 84)	different_sense
113	afvisning	sb.	Han har klaget til Ombudsmanden over Den sociale Ankestyrelses afvisning af at udbetale hans erstatning	afvisning	(63, 72)	afvisning af kendte hooligans eller personer, der betragtes som en trussel mod sikkerheden .. er nogle af de midler, som myndigheder og fodboldforbund vil anvende i sikkerhedens navn	afvisning	(0, 9)	different_sense
124	afvisning	sb.	Afvisning af asylansøgere fra Irak er et yderst sensibelt tema og kræver stor respekt fra politikerne, når familien skal sendes tilbage til håbløsheden	Afvisning	(0, 9)	Han bejler til præstens datter og får faderens accept men datterens totale afvisning	afvisning	(75, 84)	different_sense
126	agent	sb.	Poul Jahn har handlet med Sovjet i 32 år .. i dag er han agent for 13 danske virksomheder	agent	(57, 62)	Inga Nielsen har for et år siden skiftet agent, der nu bl.a. forhandler om et engagement på Metropolitan Operaen i New York	agent	(41, 46)	same_sense
127	agent	sb.	Poul Jahn har handlet med Sovjet i 32 år .. i dag er han agent for 13 danske virksomheder	agent	(57, 62)	de [betalte] deres sidste penge til en agent, der fik dem illegalt over grænsen til Danmark	agent	(39, 44)	same_sense
128	agent	sb.	Inga Nielsen har for et år siden skiftet agent, der nu bl.a. forhandler om et engagement på Metropolitan Operaen i New York	agent	(41, 46)	de [betalte] deres sidste penge til en agent, der fik dem illegalt over grænsen til Danmark	agent	(39, 44)	same_sense
135	agent	sb.	de [betalte] deres sidste penge til en agent, der fik dem illegalt over grænsen til Danmark	agent	(39, 44)	Hver af vores historier indeholder en agent, eller rettere, hver historie har sin helt	agent	(38, 43)	different_sense
129	agent	sb.	Det er klart, at en eller anden fremmed agent er ude efter det avancerede gevær	agent	(40, 45)	Poul Jahn har handlet med Sovjet i 32 år .. i dag er han agent for 13 danske virksomheder	agent	(57, 62)	different_sense
131	agent	sb.	Det er klart, at en eller anden fremmed agent er ude efter det avancerede gevær	agent	(40, 45)	de [betalte] deres sidste penge til en agent, der fik dem illegalt over grænsen til Danmark	agent	(39, 44)	different_sense
136	agt	sb.	Det er parrets agt etapevis at renovere den gamle ejendom	agt	(15, 18)	når han som ministerpræsident for Bayern behandlede sin forbundspræsident med passende agt, kunne de både tale sammen og spøge sammen	agt	(87, 90)	different_sense
137	akademi	sb.	[i 1800-tallet:] etablering af selvstændige institutioner for bestemte discipliners praksis, specielt de tekniske akademier og de veterinære højskoler	akademier	(114, 123)	[Dea Trier Mørch] var uddannet på Kunstakademiets malerskole og havde studeret ved en lang række østeuropæiske akademier	akademier	(111, 120)	same_sense
138	akademi	sb.	[i 1800-tallet:] etablering af selvstændige institutioner for bestemte discipliners praksis, specielt de tekniske akademier og de veterinære højskoler	akademier	(114, 123)	[forfatteren] Sundman var medlem af det svenske akademi, De Aderton, som hvert år uddeler Nobels litteraturpris	akademi	(48, 55)	different_sense
139	akademi	sb.	[Dea Trier Mørch] var uddannet på Kunstakademiets malerskole og havde studeret ved en lang række østeuropæiske akademier	akademier	(111, 120)	[forfatteren] Sundman var medlem af det svenske akademi, De Aderton, som hvert år uddeler Nobels litteraturpris	akademi	(48, 55)	different_sense
140	akkord	sb.	Murerne havde .. forhandlet sig frem til en ny akkord	akkord	(47, 53)	Det der med at arbejde på akkord, er det hårdt, som man nogle gange forestiller sig?	akkord	(26, 32)	same_sense
142	akkord	sb.	Det der med at arbejde på akkord, er det hårdt, som man nogle gange forestiller sig?	akkord	(26, 32)	18 mand .. blev afskediget, fordi de kom i underskud på akkorden	akkorden	(56, 64)	different_sense
141	akkord	sb.	Murerne havde .. forhandlet sig frem til en ny akkord	akkord	(47, 53)	18 mand .. blev afskediget, fordi de kom i underskud på akkorden	akkorden	(56, 64)	different_sense
143	akkord	sb.	Murerne havde .. forhandlet sig frem til en ny akkord	akkord	(47, 53)	En god akkord ligger på 150-200 kroner i timen	akkord	(7, 13)	different_sense
150	akt	sb.	måltidet er jo ikke bare selve denne noksom bekendte akt med at føre føden fra tallerkenen til læberne	akt	(53, 56)	Vielsen er en kirkelig og civilretslig akt, hvor parterne lover hinanden ægteskab	akt	(39, 42)	same_sense
155	akt	sb.	kendelsen blev kæret, og næste akt udspilles i landsretten	akt	(31, 34)	DDRs sikkerhedspoliti er genopstået som museum i Berlin. Kaj Bruun fandt sine egne akter i arkivet	akter	(83, 88)	different_sense
152	akt	sb.	Oehlenschlägers sørgespil i fem akter Hakon Jarl med emne fra norsk vikingetid blev opført til Christian 7.s fødselsdag i 1808	akter	(32, 37)	DDRs sikkerhedspoliti er genopstået som museum i Berlin. Kaj Bruun fandt sine egne akter i arkivet	akter	(83, 88)	different_sense
153	akt	sb.	Oehlenschlägers sørgespil i fem akter Hakon Jarl med emne fra norsk vikingetid blev opført til Christian 7.s fødselsdag i 1808	akter	(32, 37)	måltidet er jo ikke bare selve denne noksom bekendte akt med at føre føden fra tallerkenen til læberne	akt	(53, 56)	different_sense
160	aktivitet	sb.	et to år langt studie fra Holland har vist, at fysisk aktivitet også kan gavne langtidshukommelsen	aktivitet	(54, 63)	Han var i aktivitet fra morgen til aften, og hans mor var segnefærdig af træthed, når det endelig var sengetid	aktivitet	(10, 19)	same_sense
162	aktivitet	sb.	I fremtiden vil alle koncernens aktiviteter blive samlet på fabrikken i Frederikshavn	aktiviteter	(32, 43)	et to år langt studie fra Holland har vist, at fysisk aktivitet også kan gavne langtidshukommelsen	aktivitet	(54, 63)	different_sense
163	aktivitet	sb.	I fremtiden vil alle koncernens aktiviteter blive samlet på fabrikken i Frederikshavn	aktiviteter	(32, 43)	Han var i aktivitet fra morgen til aften, og hans mor var segnefærdig af træthed, når det endelig var sengetid	aktivitet	(10, 19)	different_sense
161	aktivitet	sb.	I fremtiden vil alle koncernens aktiviteter blive samlet på fabrikken i Frederikshavn	aktiviteter	(32, 43)	De mest populære aktiviteter både på idrætskurserne og familiekurserne er sejlsport, dans, surf og tennis	aktiviteter	(17, 28)	different_sense
169	akvarium	sb.	Akvariet indeholder adskillige saltvandsakvarier med fisk fra danske og udenlandske farvande	Akvariet	(0, 8)	Skoletjenestens medarbejder tilbyder materialer i akvariets forhal	akvariets	(50, 59)	same_sense
167	akvarium	sb.	Akvariet byder på mange forskellige slags fisk og et lille terrarium med lidt forskellige krybdyr	Akvariet	(0, 8)	Akvariet indeholder adskillige saltvandsakvarier med fisk fra danske og udenlandske farvande	Akvariet	(0, 8)	same_sense
168	akvarium	sb.	Akvariet byder på mange forskellige slags fisk og et lille terrarium med lidt forskellige krybdyr	Akvariet	(0, 8)	Skoletjenestens medarbejder tilbyder materialer i akvariets forhal	akvariets	(50, 59)	same_sense
175	akvarium	sb.	Kristian banker let på akvariet, for han vil gerne vise os sin yndling: tangsprællen	akvariet	(23, 31)	Skoletjenestens medarbejder tilbyder materialer i akvariets forhal	akvariets	(50, 59)	different_sense
171	akvarium	sb.	På sofabordet står et akvarium med guldfisk	akvarium	(22, 30)	Akvariet indeholder adskillige saltvandsakvarier med fisk fra danske og udenlandske farvande	Akvariet	(0, 8)	different_sense
172	akvarium	sb.	På sofabordet står et akvarium med guldfisk	akvarium	(22, 30)	Skoletjenestens medarbejder tilbyder materialer i akvariets forhal	akvariets	(50, 59)	different_sense
176	alarm	sb.	Efter alarmen kl. 9.12 var røgdykkere fra Kalundborg Brandvæsen .. fremme ved det brændende skib kl. 9.40	alarmen	(6, 13)	jeg [lod] foretage et mammografi af mit bryst. Der var ingen knude og ingen grund til alarm, og så var jeg jo glad	alarm	(86, 91)	same_sense
177	alarm	sb.	Da alarmen hylede, tog voldsmanden flugten med hendes taske, smykker og penge	alarmen	(3, 10)	Når alarmen har lydt er ambulancerne i gennemsnit fremme på fire et halvt minut	alarmen	(4, 11)	same_sense
189	alarm	sb.	Når alarmen har lydt er ambulancerne i gennemsnit fremme på fire et halvt minut	alarmen	(4, 11)	"Uret har naturligvis også ""almindelige"" funktioner som stopur og alarm"	alarm	(65, 70)	different_sense
182	alarm	sb.	Efter alarmen kl. 9.12 var røgdykkere fra Kalundborg Brandvæsen .. fremme ved det brændende skib kl. 9.40	alarmen	(6, 13)	Jeg tror, alle mennesker har en indbygget alarm, der slår til når man er ved at gøre noget dumt	alarm	(42, 47)	different_sense
187	alarm	sb.	Når alarmen har lydt er ambulancerne i gennemsnit fremme på fire et halvt minut	alarmen	(4, 11)	Jeg tror, alle mennesker har en indbygget alarm, der slår til når man er ved at gøre noget dumt	alarm	(42, 47)	different_sense
202	album	sb.	"Han meddeler, at The Cure meget snart går i studiet for at færdiggøre bandets nye album — det første siden ""4: 13 Dream"" (2008)"	album	(82, 87)	Efter bruddet med Gnags startede Henning Stærk i 1981 sin solokarriere med et selvbetitlet album	album	(91, 96)	same_sense
196	album	sb.	Det viste sig, at han også dyrkede fotografering som hobby, og han viste mig stolt flere albums med billeder, han havde taget	albums	(89, 95)	aften efter aften bladrer [han] i et gammelt album med fotografier fra skyttegravskrigen	album	(45, 50)	same_sense
199	album	sb.	Albummet udgives både digitalt, på cd og vinyl	Albummet	(0, 8)	Efter bruddet med Gnags startede Henning Stærk i 1981 sin solokarriere med et selvbetitlet album	album	(91, 96)	same_sense
216	album	sb.	aften efter aften bladrer [han] i et gammelt album med fotografier fra skyttegravskrigen	album	(45, 50)	Gasolin' har udgivet otte danske album, mens bandet også udgav fire album på engelsk	album	(33, 38)	different_sense
210	album	sb.	Frimærkenørderne sidder med deres pincet og album og bytter frimærker	album	(44, 49)	Efter bruddet med Gnags startede Henning Stærk i 1981 sin solokarriere med et selvbetitlet album	album	(91, 96)	different_sense
212	album	sb.	Det viste sig, at han også dyrkede fotografering som hobby, og han viste mig stolt flere albums med billeder, han havde taget	albums	(89, 95)	Gasolin' har udgivet otte danske album, mens bandet også udgav fire album på engelsk	album	(33, 38)	different_sense
219	alkohol	sb.	Drikker du alkohol — rigeligt og stærkt — risikerer du en akut forgiftning, som kan være livsfarlig	alkohol	(11, 18)	Alkohol er [en] vandklar skarpt smagende væske, som anvendes i kemiske industrier, og som drikkevarer	Alkohol	(0, 7)	different_sense
220	alt	sb.	[hendes] varme og fyldige alt .. var smukt afstemt i kvartetterne og fortrinlig på solostederne	alt	(26, 29)	aftenens alt, Gabriele Binder, har gode klanglige ressourcer, men fik alligevel ikke rigtig sit budskab ud	alt	(9, 12)	different_sense
221	alter	sb.	[det er] efter gammel katolsk opfattelse på alteret i koret, Kristus kommer til stede i brøds og vins skikkelse	alteret	(44, 51)	På alteret måtte alle som søgte oraklet [: i Delfi] bringe et offer, inden de gik ind i templet	alteret	(3, 10)	different_sense
222	aluminium	sb.	Hver dansker smider hvert år 3 kg aluminium i skraldespanden i form af husholdningsfolie, leverpostejbakker, makreldåser osv.	aluminium	(34, 43)	[Den meste syreneutraliserende medicin] indeholder enten magnesium, aluminium eller kalk	aluminium	(68, 77)	different_sense
223	alvor	sb.	Efterhånden var jeg nået op i den aldersklasse, hvor livets alvor begynder at udfolde sig	alvor	(60, 65)	"""Det er alvor. Jeg skal have penge. Der er en trådløs bombe i posen,"" sagde [røveren] til en kvindelig kasserer"	alvor	(8, 13)	same_sense
224	alvor	sb.	købmanden gik med værdig alvor rundt og kontrollerede, at alt gik rigtigt til og var til kundernes tilfredshed	alvor	(25, 30)	man behøver aldrig være bange for at blive tynget til jorden af for megen alvor hos Shakespeare	alvor	(74, 79)	same_sense
226	alvor	sb.	Efterhånden var jeg nået op i den aldersklasse, hvor livets alvor begynder at udfolde sig	alvor	(60, 65)	man behøver aldrig være bange for at blive tynget til jorden af for megen alvor hos Shakespeare	alvor	(74, 79)	different_sense
227	alvor	sb.	"""Det er alvor. Jeg skal have penge. Der er en trådløs bombe i posen,"" sagde [røveren] til en kvindelig kasserer"	alvor	(8, 13)	købmanden gik med værdig alvor rundt og kontrollerede, at alt gik rigtigt til og var til kundernes tilfredshed	alvor	(25, 30)	different_sense
225	alvor	sb.	Efterhånden var jeg nået op i den aldersklasse, hvor livets alvor begynder at udfolde sig	alvor	(60, 65)	købmanden gik med værdig alvor rundt og kontrollerede, at alt gik rigtigt til og var til kundernes tilfredshed	alvor	(25, 30)	different_sense
229	amatør	sb.	En koncert med amatører på et jævnt teknisk plan kan f.eks. i kraft af musikernes engagement og entusiasme være en større oplevelse end en rutinepræget koncert på højt professionelt niveau	amatører	(15, 23)	Han forsikrede så, at de ikke ville bære sig ad som idioter eller amatører	amatører	(66, 74)	different_sense
230	ambassade	sb.	Den danske ambassade i Bagdad prøver igen og igen at få udrejsetilladelse til danskerne	ambassade	(11, 20)	en gruppe demonstranter [knuste] nogle ruder i ambassaden med brosten	ambassaden	(47, 57)	different_sense
