target	candidates	label	comment	section
grund	['shellak', 'aftabuisering', 'vifte', 'bund']	bund	true synonym	07.015
kunstmaler	['maler', 'transparens', 'teatermaler', 'speedway']	maler	true synonym	07.015
sminkør	['makeupartist', 'knasthul', 'antænding', 'marinemaler']	makeupartist	true synonym	07.015
farvesammensætning	['transfersum', 'pløre', 'ludbehandling', 'farvekombination']	farvekombination	true synonym	07.015
brand	['ildebrand', 'underkastelse', 'brandfælde', 'sene']	ildebrand	true synonym	07.042
brandudstyr	['afskalning', 'flid', 'brandslukningsudstyr', 'røgdykker']	brandslukningsudstyr	true synonym	07.042
trafik	['glatføre', 'kærestebrev', 'piskesvirp', 'færdsel']	færdsel	true synonym	08.009
deceleration	['B-menneske', 'tilkørsel', 'mas', 'retardation']	retardation	true synonym	08.009
akvaplaning	['dækslip', 'spring', 'tilkørsel', 'tic']	dækslip	true synonym	08.009
p-vagt	['motorsagkyndig', 'smittespredning', 'møde', 'parkeringsvagt']	parkeringsvagt	true synonym	08.009
trafiksikkerhed	['trafikkontrol', 'morgendagen', 'tic', 'færdselssikkerhed']	færdselssikkerhed	true synonym	08.009
katastrofeblink	['motorvejsafgift', 'advarselsblink', 'rotationsakse', 'tjeneste']	advarselsblink	true synonym	08.009
færdselskontrol	['kølerfigur', 'havariblink', 'trafikkontrol', 'overrumpling']	trafikkontrol	true synonym	08.009
køreretning	['kørselsretning', 'backspin', 'nærlys', 'offentliggørelse']	kørselsretning	true synonym	08.009
fartbegrænsning	['skibsmotor', 'hastighedsbegrænsning', 'gåsefjer', 'nærlys']	hastighedsbegrænsning	true synonym	08.009
afviser	['astronom', 'afvisersten', 'skilteskov', 'kolbøtte']	afvisersten	true synonym	08.009
grænsenummerplade	['frugtbarhedskult', 'uheldssted', 'grænseplade', 'hajtænder']	grænseplade	true synonym	08.009
trafikforseelse	['radiotelegrafist', 'færdselsforseelse', 'spirituskørsel', 'udkrystallisation']	færdselsforseelse	true synonym	08.009
spritkørsel	['promillekørsel', 'taxagrønt', 'buk', 'bibetydning']	promillekørsel	true synonym	08.009
jernbane	['tunnelbane', 'bane', 'karbonhydrid', 'kabelskib']	bane	true synonym	08.015
metro	['nedfaldsæble', 'Liberia', 'undergrundsbane', 'sløjfe']	undergrundsbane	true synonym	08.015
banelegeme	['skinnelegeme', 'skrivebordsarbejde', 'forfølgelse', 'skinnesammenføjning']	skinnelegeme	true synonym	08.015
svelle	['seksualangst', 'jernbanesvelle', 'jernbaneanlæg', 'hiven']	jernbanesvelle	true synonym	08.015
luftledning	['nødløgn', 'jernbaneunderføring', 'køreledning', 'vinde']	køreledning	true synonym	08.015
indstigning	['pladsudnyttelse', 'påstigning', 'udsving', 'trainsurfing']	påstigning	true synonym	08.015
retur	['togtid', 'vagabondering', 'returbillet', 'tykkelse']	returbillet	true synonym	08.015
zone	['fællesklasse', 'takstzone', 'gnavsår', 'frugtvin']	takstzone	true synonym	08.015
togvogn	['jernbanevogn', 'kontinentaldrift', 'bagageplads', 'flugt']	jernbanevogn	true synonym	08.015
forarbejdning	['træarbejde', 'istandgøring', 'forarbejdelse', 'øvelse']	forarbejdelse	true synonym	09.021
makværk	['polykromi', 'strudsepolitik', 'klamphuggeri', 'kraftpræstation']	klamphuggeri	true synonym	09.021
forarbejdning	['forarbejdelse', 'dumhed', 'opgavevaretagelse', 'vejrlig']	forarbejdelse	true synonym	09.048
makværk	['hængeparti', 'klamphuggeri', 'kliché', 'arbejde']	klamphuggeri	true synonym	09.048
betagelse	['landskabsmaleri', 'betagethed', 'oplagthed', 'blokering']	betagethed	true synonym	10.009
virkelyst	['forlegenhed', 'livsbegær', 'virketrang', 'morgendagen']	virketrang	true synonym	10.009
snakkelyst	['harmonisering', 'tilbageholdenhed', 'skaberglæde', 'talelyst']	talelyst	true synonym	10.009
livret	['tungesting', 'yndlingsspise', 'vulgaritet', 'yndlingslærer']	yndlingsspise	true synonym	10.009
lækkermund	['hungersnød', 'slikmund', 'heroisme', 'vandrefugl']	slikmund	true synonym	10.009
lidenskab	['kluklatter', 'passion', 'sværmeri', 'fedekur']	passion	true synonym	10.053
omfavnelse	['kærlighedserklæring', 'kram', 'midterstreg', 'tiltro']	kram	true synonym	10.053
ekskæreste	['skisma', 'eks', 'akilleshæl', 'ægtepar']	eks	true synonym	10.053
addering	['division', 'fantasipris', 'overfladiskhed', 'addition']	addition	true synonym	11.011
multiplikation	['ligusterfascist', 'samklang', 'gangning', 'gangetegn']	gangning	true synonym	11.011
minustegn	['eksempel', '+', 'minus', 'fodsved']	minus	true synonym	11.011
tæller	['kalkulator', 'yin', 'tælleværk', 'overbevisning']	tælleværk	true synonym	11.011
måleenhed	['slids', 'mål', 'fon', 'projektarbejde']	mål	true synonym	11.011
km/t.	['lumen', 'km/h', 'meritokrati', 'ambiance']	km/h	true synonym	11.011
mikrometer	['mikron', 'lysår', 'spil', 'besegling']	mikron	true synonym	11.011
m²	['kvm', 'blender', 'skulkeri', 'flademål']	kvm	true synonym	11.011
emneuge	['prototype', 'enkeltmandsundervisning', 'featureuge', 'afslutning']	featureuge	true synonym	11.029
brevkursus	['korrespondancekursus', 'frisind', 'masterclass', 'labyrint']	korrespondancekursus	true synonym	11.029
førstehjælpskursus	['engelskkursus', 'bedsteborger', 'morfinrus', 'samariterkursus']	samariterkursus	true synonym	11.029
gymnastiklærer	['sanglærer', 'tragikomedie', 'begrebsudvikling', 'idrætslærer']	idrætslærer	true synonym	11.029
skiinstruktør	['grønvask', 'støttelærer', 'skilærer', 'sammenfoldning']	skilærer	true synonym	11.029
skoleinspektør	['skud', 'universitetslektor', 'nerve', 'inspektør']	inspektør	true synonym	11.029
vokal	['diftong', 'filister', 'selvlyd', 'nyhedsredaktion']	selvlyd	true synonym	12.009
disputats	['fremmedordbog', 'hjemmelsmand', 'doktordisputats', 'dystopi']	doktordisputats	true synonym	12.009
onlineordbog	['netordbog', 'stuehus', 'ungdomsværk', 'besegling']	netordbog	true synonym	12.046
litteratur	['skønlitteratur', 'porno', 'persilledrys', 'dementi']	skønlitteratur	true synonym	12.046
efterskrift	['noteapparat', 'foredrag', 'efterord', 'overdrev']	efterord	true synonym	12.046
indstik	['bagsidetekst', 'indlæg', 'sekventering', 'undergrundsorganisation']	indlæg	true synonym	12.046
bibliografi	['flaptekst', 'brokke', 'litteraturliste', 'indkøringsproblem']	litteraturliste	true synonym	12.046
manuskript	['smittespredning', 'manus', 'indeks', 'mathed']	manus	true synonym	12.046
bogomslag	['prolog', 'omslag', 'pladesalg', 'forløjethed']	omslag	true synonym	12.046
krimiforfatter	['spøgelsesforfatter', 'kriminalforfatter', 'replik', 'hummer']	kriminalforfatter	true synonym	12.046
boghandel	['boglade', 'eneret', 'bogbinderi', 'maskulinum']	boglade	true synonym	12.046
anmeldelse	['karikatur', 'Nobelpris', 'recension', 'upålidelighed']	recension	true synonym	12.046
adgangsbetingelse	['adgangsregulering', 'adgangskrav', 'entreprenørånd', 'bastard']	adgangskrav	true synonym	13.001
adgangsbegrænsning	['adgangskvotient', 'adgangsregulering', 'oprykningsplads', 'lecitin']	adgangsregulering	true synonym	13.001
universitet	['uni', 'multikulturalist', 'musikkonservatorium', 'vanemenneske']	uni	true synonym	13.001
konservatorium	['nødløgn', 'universitetsmiljø', 'musikkonservatorium', 'tekstgennemgang']	musikkonservatorium	true synonym	13.001
cand.scient.pol.	['ph.d.-grad', 'stadsgartner', 'fylogenese', 'politolog']	politolog	true synonym	13.001
cand.hort.	['restriktionsenzym', 'smitte', 'hortonom', 'antropolog']	hortonom	true synonym	13.001
landskabsarkitekt	['udlændighed', 'statistiker', 'karat', 'havearkitekt']	havearkitekt	true synonym	13.001
cand.lact.	['overtegnede', 'mejeriingeniør', 'dr.h.c.', 'tredimensionalitet']	mejeriingeniør	true synonym	13.001
vidensarbejder	['vidensmedarbejder', 'indehaver', 'cand.polit.', 'universitetslektor']	vidensmedarbejder	true synonym	13.001
lægestuderende	['trivialitet', 'kaliumklorid', 'medicinstuderende', 'stud.']	medicinstuderende	true synonym	13.001
studentermedhjælper	['studentermedhjælp', 'modernitet', 'skønhedsoperation', 'specialestuderende']	studentermedhjælp	true synonym	13.001
lodlinje	['indrømmelse', 'vertikal', 'tankeeksperiment', 'hestesko']	vertikal	true synonym	13.005
periferi	['livsappetit', 'markør', 'omkreds', 'keglesnit']	omkreds	true synonym	13.005
polygon	['fæsteafgift', 'fraktal', 'mangekant', 'detailled']	mangekant	true synonym	13.005
musikinstrument	['instrument', 'klarinet', 'affasning', 'triennale']	instrument	true synonym	14.015
saxofon	['parodi', 'rørfløjte', 'guldmageri', 'sax']	sax	true synonym	14.015
strygeinstrument	['musical', 'nedfald', 'stryger', 'elguitar']	stryger	true synonym	14.015
harmonika	['trækharmonika', 'topopgør', 'københavnerbegivenhed', 'æolsharpe']	trækharmonika	true synonym	14.015
mundharmonika	['positiv', 'titelrolle', 'mundharpe', 'centrifugalkraft']	mundharpe	true synonym	14.015
bongo	['monsunregn', 'bongotromme', 'klassik', 'rumsterstang']	bongotromme	true synonym	14.015
claves	['rytmepinde', 'trommemaskine', 'faksimile', 'afsætningsmulighed']	rytmepinde	true synonym	14.015
trommestik	['stik', 'rørblad', 'rundkredspædagogik', 'finale']	stik	true synonym	14.015
nodestativ	['nodepult', 'huleboer', 'kunstauktion', 'violinbue']	nodepult	true synonym	14.015
klaverbænk	['klaverstol', 'nodepult', 'kunsthåndværkerskole', 'slidflade']	klaverstol	true synonym	14.015
klangbund	['langtidsledig', 'stol', 'glyf', 'resonansbund']	resonansbund	true synonym	14.015
trommehvirvel	['ryk', 'hvirvel', 'intonation', 'skæring']	hvirvel	true synonym	14.015
litteratur	['dokumentarroman', 'skønlitteratur', 'nodepapir', '-in']	skønlitteratur	true synonym	14.021
fortælling	['beretning', 'kæphest', 'fluxus', 'jalousidrama']	beretning	true synonym	14.021
dekonstruktion	['persontegning', 'edb-programmør', 'dekonstruktivisme', 'ekstranummer']	dekonstruktivisme	true synonym	14.021
rammefortælling	['kontrolforsøg', 'balletsko', 'samfundsbeskrivelse', 'rammehistorie']	rammehistorie	true synonym	14.021
handlingsforløb	['handlingsgang', 'impromptu', 'melodrama', 'skaberkraft']	handlingsgang	true synonym	14.021
slutning	['træ', 'kyklop', 'afslutning', 'nada']	afslutning	true synonym	14.021
triviallitteratur	['fantastik', 'arsis', 'Vorherre', 'kiosklitteratur']	kiosklitteratur	true synonym	14.021
EU-borger	['unionsborger', 'befolkningsvækst', 'kølleslag', 'skylle']	unionsborger	true synonym	15.001
andenklassesborger	['andenrangsborger', 'folketal', 'dynasti', 'nedsænkning']	andenrangsborger	true synonym	15.001
befolkningsflertal	['homeboy', 'folkeflertal', 'indeklimaproblem', 'græsenkemand']	folkeflertal	true synonym	15.001
befolkningssammensætning	['bredside', 'alderspyramide', 'modstander', 'befolkningsstruktur']	befolkningsstruktur	true synonym	15.001
befolkningstilvækst	['befolkningsvækst', 'homeboy', 'undskyld', 'børnebogsillustrator']	befolkningsvækst	true synonym	15.001
udenlandsdansker	['forstævn', 'udlandsdansker', 'konkubine', 'nutidsdansker']	udlandsdansker	true synonym	15.001
amagerkaner	['speakerstemme', 'samlivskontrakt', 'velfærdsdansker', 'amager']	amager	true synonym	15.001
asseneser	['danerne', 'assensbo', 'røgeovn', 'indprentning']	assensbo	true synonym	15.001
lollik	['lollænder', 'gammeldansker', 'broderskab', 'laboratorieassistent']	lollænder	true synonym	15.001
finne	['finlænder', 'fagforeningsmøde', 'skandinav', 'fæstemand']	finlænder	true synonym	15.001
centraleuropæer	['madlugt', 'snydetamp', 'mellemeuropæer', 'angler']	mellemeuropæer	true synonym	15.001
englænder	['foreløbighed', 'sydeuropæer', 'ener', 'brite']	brite	true synonym	15.001
spanier	['gave', 'spaniol', 'overtalelsesevne', 'slovak']	spaniol	true synonym	15.001
irer	['islag', 'irlænder', 'uartigheder', 'kartoffeltysker']	irlænder	true synonym	15.001
orientaler	['spøgelsesslot', 'usbeker', 'selskab', 'østerlænding']	østerlænding	true synonym	15.001
srilankaner	['inder', 'ceyloneser', 'protest', 'geopolitik']	ceyloneser	true synonym	15.001
burmeser	['afsæt', 'myanmarer', 'vietnameser', 'bankekød']	myanmarer	true synonym	15.001
saudiaraber	['qatarer', 'indadvendthed', 'indhop', 'saudier']	saudier	true synonym	15.001
zairer	['skilsmisseforhandling', 'congoleser', 'underforståelse', 'lesother']	congoleser	true synonym	15.001
sort	['gringo', 'udøvelse', 'neger', 'konfrontation']	neger	true synonym	15.001
inkaindianer	['inka', 'plebejer', 'dom', 'voldsspiral']	inka	true synonym	15.001
produktionskollektiv	['landsforbund', 'zoomning', 'arbejdskollektiv', 'forsonlighed']	arbejdskollektiv	true synonym	15.010
andelsboligforening	['arbejdslejr', 'andelsforening', 'forlovelsesgilde', 'brancheforening']	andelsforening	true synonym	15.010
bindeled	['forbindelsesled', 'interessefællesskab', 'angriber', 'ædegilde']	forbindelsesled	true synonym	15.010
ingefær	['indsprøjtning', 'laurbærblad', 'ingefærrod', 'bespisning']	ingefærrod	true synonym	16.007
laurbær	['laurbærblad', 'madagaskarpeber', 'gourmet', 'haltefanden']	laurbærblad	true synonym	16.007
nellike	['kryddernellike', 'yndlingsspise', 'fred', 'laurbærblad']	kryddernellike	true synonym	16.007
eliteidræt	['tennisbane', 'elitesport', 'raskidræt', 'frafaldsprocent']	elitesport	true synonym	17.001
kvindekamp	['pendler', 'skydetelt', 'omkamp', 'damekamp']	damekamp	true synonym	17.001
returkamp	['dyst', 'transfersystem', 'returopgør', 'birk']	returopgør	true synonym	17.001
resultat	['enkeltstart', 'fordel', 'glacialtid', 'facit']	facit	true synonym	17.001
førerposition	['dagsmarch', 'førerstilling', 'overtag', 'velklang']	førerstilling	true synonym	17.001
supporter	['hepper', 'snesko', 'markering', 'fan']	fan	true synonym	17.001
sportsidiot	['sportsfanatiker', 'mælkevej', 'drivingrange', 'heppekor']	sportsfanatiker	true synonym	17.001
skakmat	['trapskydning', 'lodning', 'mat', 'rokade']	mat	true synonym	17.023
lotteri	['vindertal', 'sejr', 'sanseoplevelse', 'lotterispil']	lotterispil	true synonym	17.023
bankospil	['bingospil', 'kabale', 'nærkamp', 'nytårsaften']	bingospil	true synonym	17.023
krydsogtværs	['krydsogtværsopgave', 'verdensrum', 'natursne', 'bipbipspil']	krydsogtværsopgave	true synonym	17.023
spillekort	['firer', 'bagatelgrænse', 'stamplads', 'kort']	kort	true synonym	17.023
kulør	['farve', 'gatecrasher', 'trumf', 'forebyggelse']	farve	true synonym	17.023
honnør	['honnørkort', 'pantebrev', 'talon', 'ishockey']	honnørkort	true synonym	17.023
bræt	['triatlon', 'dominobrik', 'spillebræt', 'åbenhed']	spillebræt	true synonym	17.023
bankoplade	['rædselsregimente', 'tolver', 'bingoplade', 'toppræstation']	bingoplade	true synonym	17.023
gevinst	['tipsgevinst', 'sparring', 'præmie', 'andelsbevægelse']	præmie	true synonym	17.023
bankohal	['bankør', 'slutstilling', 'filisteri', 'bingohal']	bingohal	true synonym	17.023
kasino	['bjælde', 'elitesport', 'bingohal', 'spillekasino']	spillekasino	true synonym	17.023
netcafé	['internetcafé', 'bridgebord', 'fodboldstadion', 'gøren']	internetcafé	true synonym	17.023
gamer	['downhillbane', 'bookmakerfirma', 'parringstid', 'computerspiller']	computerspiller	true synonym	17.023
kollektrice	['krydsogtværsløser', 'spillerboks', 'meneder', 'lotterikollektrice']	lotterikollektrice	true synonym	17.023
øvrighedsperson	['samoaner', 'myndighedsperson', 'overpræsident', 'hoppen']	myndighedsperson	true synonym	18.011
nævn	['opportunist', 'lodlinje', 'amtskontor', 'komité']	komité	true synonym	18.011
slag	['trylleformular', 'batalje', 'gadeoptøjer', 'ufredstid']	batalje	true synonym	18.020
folkemord	['kamptummel', 'folkedrab', 'befrielsesaktion', 'dybdemåling']	folkedrab	true synonym	18.020
oprør	['socialistleder', 'opstand', 'motivkreds', 'grænsekamp']	opstand	true synonym	18.020
stormløb	['bandekrig', 'folkeret', 'bevogtning', 'storm']	storm	true synonym	18.020
afmilitarisering	['kandidat', 'penduldiplomati', 'blomsterbarn', 'demilitarisering']	demilitarisering	true synonym	18.020
konflikt	['gulvvarme', 'radiotavshed', 'samarbejdspart', 'stridighed']	stridighed	true synonym	18.020
bloddiamant	['bombe', 'belejringstilstand', 'konfliktdiamant', 'peacesymbol']	konfliktdiamant	true synonym	18.020
koncentrationslejr	['kommandobunker', 'pelsværk', 'kz-lejr', 'basisgruppe']	kz-lejr	true synonym	18.020
kommando	['brunette', 'befaling', 'kernevåbenforsøg', 'indland']	befaling	true synonym	18.020
ryglæn	['sofasæde', 'portal', 'kinoorgel', 'ryg']	ryg	true synonym	19.004
spisebordsstol	['spisestuestol', 'byggetilladelse', 'barberstol', 'kystbevogtning']	spisestuestol	true synonym	19.004
sengebord	['spisebord', 'revledør', 'nattetid', 'natbord']	natbord	true synonym	19.004
skuffemøbel	['skuffedarium', 'bispehat', 'alarmanlæg', 'glashylde']	skuffedarium	true synonym	19.004
garderobeskab	['klædeskab', 'tankekonstruktion', 'rygstød', 'amagerhylde']	klædeskab	true synonym	19.004
barskab	['globryllup', 'bar', 'kompostkværn', 'klædeskab']	bar	true synonym	19.004
hovedgærde	['kingsizeseng', 'butiksdød', 'spejl', 'hovedende']	hovedende	true synonym	19.004
montre	['våbenkapløb', 'udstillingsmontre', 'lydighed', 'barnestol']	udstillingsmontre	true synonym	19.004
babylift	['sønderbombning', 'filebænk', 'lift', 'domsudskrift']	lift	true synonym	19.004
hængesofa	['smagsstof', 'gyngesofa', 'tilskuer', 'arbejdsstol']	gyngesofa	true synonym	19.004
polstring	['polster', 'krydsfiner', 'husmandshjem', 'hvidhed']	polster	true synonym	19.004
møbelbranche	['svejseapparat', 'møbelindustri', 'møbelmagasin', 'terrakotta']	møbelindustri	true synonym	19.004
sutteflaske	['hældetud', 'potmeter', 'scene', 'patteflaske']	patteflaske	true synonym	19.006
samovar	['sildetønde', 'temaskine', 'vanvidsidræt', 'telexskrivning']	temaskine	true synonym	19.006
junge	['pufferopløsning', 'mælkejunge', 'sodavandsflaske', 'afstivning']	mælkejunge	true synonym	19.006
vinfad	['bonbonniere', 'uforståenhed', 'talentkonkurrence', 'fad']	fad	true synonym	19.006
glas	['telegrafi', 'fartrekord', 'drikkeglas', 'hæk']	drikkeglas	true synonym	19.006
badekar	['porcelænskop', 'kar', 'serviceafdeling', 'plastlaminat']	kar	true synonym	19.006
wc	['drikkehorn', 'gulvbelægning', 'sydlys', 'toilet']	toilet	true synonym	19.006
toiletkumme	['yderposition', 'gennemvalg', 'latrin', 'wc-kumme']	wc-kumme	true synonym	19.006
kalkbalje	['chaiselong', 'kalk', 'murerbalje', 'jackpot']	murerbalje	true synonym	19.006
spraydåse	['tonerpatron', 'flaskehals', 'fødehjem', 'aerosoldåse']	aerosoldåse	true synonym	19.006
kontorlokale	['rentestigning', 'genopdagelse', 'kontorrum', 'udviklingslaboratorium']	kontorrum	true synonym	20.006
mødelokale	['møderum', 'andelstanke', 'kender', 'hittegodskontor']	møderum	true synonym	20.006
autoværksted	['narkoafdeling', 'frikommuneforsøg', 'jordkøb', 'bilværksted']	bilværksted	true synonym	20.006
erhvervscenter	['nettoresultat', 'sopran', 'billetkontor', 'erhvervssekretariat']	erhvervssekretariat	true synonym	20.006
turistbureau	['søjlehelgen', 'turistinformation', 'pensionsopsparer', 'plads']	turistinformation	true synonym	20.006
personale	['hastighedsrekord', 'ansat', 'familieformue', 'medarbejderstab']	medarbejderstab	true synonym	20.006
kollega	['arbejdskollega', 'borgestue', 'hiv', 'flothed']	arbejdskollega	true synonym	20.006
folkestue	['fagfælle', 'borgestue', 'overdrev', 'hyldevare']	borgestue	true synonym	20.006
pigekammer	['skibsanpart', 'pigeværelse', 'arbejdskammerat', 'principfasthed']	pigeværelse	true synonym	20.006
arbejdsforhold	['arbejdsvilkår', 'personaleblad', 'hestekur', 'titel']	arbejdsvilkår	true synonym	20.006
politik	['policy', 'kiste', 'højesteretssagfører', 'medarbejderaktieordning']	policy	true synonym	20.006
