candidates	label	core_group_placement	outlier_placement
['sømilegrænse', 'israndslinje', 'snegrænse', 'kæmpehul']	kæmpehul	03.22	03.035.0.9
['skovgrænse', 'tallerkenkant', 'brudlinje', 'platbor']	platbor	03.22	03.041.18.2
['j.nr.', 'postnummer', 'sidetal', 'ydermål']	ydermål	04.33	04.001.2.0
['startnummer', 'gennemsnitstal', 'femtal', 'format']	format	04.33	04.001.3.0
['katalognummer', 'værdi', 'reg.nr.', 'mastodont']	mastodont	04.33	04.002.3.5
['vektorregning', 'bit', 'division', 'stigningstakt']	stigningstakt	04.33	04.003.1.0
['løbenummer', 'I', 'ottetabellen', 'dværgvækst']	dværgvækst	04.33	04.004.13.0
['værelsesnummer', 'matrikelnummer', 'logaritmetabel', 'forstørrelsesapparat']	forstørrelsesapparat	04.33	04.004.16.1
['policenummer', 'nummerering', 'knækrente', 'korthed']	korthed	04.33	04.007.0.0
['tid', 'varenummer', 'IP-adresse', 'højde']	højde	04.33	04.012.0.0
['minuspoint', 'vindernummer', 'sidetal', 'vejle']	vejle	04.33	04.015.0.1
['ellevetal', 'vejnummer', 'ener', 'ligelighed']	ligelighed	04.33	04.027.5.4
['flage', 'løsdel', 'hjørnesten', 'størrelse']	størrelse	04.40	04.002.2.0
['milliardtedel', 'fjortendedel', 'overdel', 'bid']	bid	04.40	04.007.1.1
['topstykke', 'inventar', 'afsnit', 'spærreballon']	spærreballon	04.40	04.010.5.2
['detalje', 'brudstykke', 'hovedafsnit', 'bladguld']	bladguld	04.40	04.011.7.4
['enkelthed', 'unit', 'fragment', 'flademål']	flademål	04.40	04.016.5.1
['luns', 'unit', 'løsdel', 'm']	m	04.40	04.021.empty.1
['flig', 'felt', 'kerne', 'overproduktion']	overproduktion	04.40	04.022.15.0
['led', 'sekstendedel', 'promille', 'generalnævner']	generalnævner	04.40	04.033.11.4
['fjortendedel', 'led', 'byggeklods', 'komparativ']	komparativ	04.40	04.045.3.0
['søjle', 'del', 'overdel', 'automatsvar']	automatsvar	04.40	04.046.2.0
['beskyttelsesniveau', 'gardering', 'bjergningsselskab', 'personificering']	personificering	05.13	05.001.19.4
['sikkerhedsmargin', 'forholdsregel', 'brandslukningsudstyr', 'vinderchance']	vinderchance	05.13	05.002.3.2
['sikkerhedsrådgiver', 'redningsindsats', 'tryghedsnarkoman', 'enkeltbillet']	enkeltbillet	05.13	05.003.5.0
['tryghedsbehov', 'sikkerhedsanordning', 'sikringsrum', 'vinderchance']	vinderchance	05.13	05.004.1.1
['redningsvogn', 'redningsapparat', 'sikkerhedsventil', 'absolutist']	absolutist	05.13	05.006.12.0
['redningshelikopter', 'fredhellighed', 'kirkeasyl', 'ontologi']	ontologi	05.13	05.008.8.1
['tryghedsbehov', 'tryghedsnarkoman', 'redningsvogn', 'grundpille']	grundpille	05.13	05.010.5.3
['sikkerhedssele', 'livline', 'tryghedsbehov', 'korrespondance']	korrespondance	05.13	05.014.5.1
['H-sele', 'sikkerhedszone', 'tryghedsnarkoman', 'varietet']	varietet	05.13	05.021.4.2
['tryghedsbehov', 'beskyttelsesudstyr', 'datasikkerhed', 'afsvækning']	afsvækning	05.13	05.039.2.2
['prognose', 'beskæftigelsesfremgang', 'styring', 'gevinstchance']	gevinstchance	05.27	05.004.1.0
['underudvikling', 'gænge', 'vækst', 'nøglepost']	nøglepost	05.27	05.010.10.2
['teknologiudvikling', 'pionerforetagende', 'resultatfremgang', 'tilfælde']	tilfælde	05.27	05.011.0.6
['løsning', 'forstadium', 'fodfæste', 'nødsender']	nødsender	05.27	05.012.16.8
['forløb', 'startfase', 'beskæftigelsesudvikling', 'sikring']	sikring	05.27	05.013.5.0
['fremtid', 'videreudvikling', 'skole', 'bruger-id']	bruger-id	05.27	05.016.9.4
['reallønsfremgang', 'udviklingsstadium', 'tigerspring', 'sammenlignelighed']	sammenlignelighed	05.27	05.018.0.0
['nyudvikling', 'rutsjebanetur', 'pionerindsats', 'rotation']	rotation	05.27	05.030.0.2
['genopretning', 'kvantespring', 'metodeudvikling', 'efterfølger']	efterfølger	05.27	05.031.0.1
['dannelsesrejse', 'fremtid', 'hanefjed', 'robusthed']	robusthed	05.27	05.045.0.4
['skoleår', 'liv', 'fyrreårsalderen', 'nu']	nu	06.02	06.001.22.2
['livsperiode', 'legetid', 'aldersspredning', 'årsdag']	årsdag	06.02	06.004.12.0
['panikalder', 'livsforløb', 'leveuge', 'klassiker']	klassiker	06.02	06.011.4.0
['voksenår', 'sørgeperiode', 'alderspræsident', 'kridttid']	kridttid	06.02	06.022.1.11
['gymnasietid', 'ungpigeår', 'midalder', 'morgendagen']	morgendagen	06.02	06.024.1.0
['tumlingealder', 'livsforløb', 'alderspyramide', 'kanin']	kanin	06.02	06.026.16.1
['livscyklus', 'leveuge', 'gennemsnitslevetid', 'genindtræden']	genindtræden	06.02	06.028.0.4
['middellevetid', 'midalder', 'sørgeperiode', 'undtagelse']	undtagelse	06.02	06.029.3.0
['fortid', 'midtlivskrise', 'myndighedsalder', 'ubelejlighed']	ubelejlighed	06.02	06.037.0.1
['fødselsøjeblik', 'fortid', 'voksentid', 'tidsforskydning']	tidsforskydning	06.02	06.038.7.0
['timeslag', 'clockradio', 'måneur', 'ungdom']	ungdom	06.13	06.005.5.6
['omgangstid', 'minut', 'tidskørsel', 'senfølge']	senfølge	06.13	06.007.3.0
['skudår', 'datolinje', 'minut', 'udeblivelse']	udeblivelse	06.13	06.008.0.0
['nanosekund', 'december', 'kalender', 'evighedslængsel']	evighedslængsel	06.13	06.009.6.0
['standur', 'skuddag', 'ankergangsur', 'ineffektivitet']	ineffektivitet	06.13	06.010.5.3
['kvartsur', 'rejseur', 'tidsenhed', 'forspil']	forspil	06.13	06.014.1.1
['rekordtid', 'minut', 'tvebak', 'ønskedrøm']	ønskedrøm	06.13	06.029.4.0
['tidsmåling', 'tidsenhed', 'almanakår', 'hverdagsting']	hverdagsting	06.13	06.031.1.16
['køkkenur', 'klokke', 'årtusinde', 'turnus']	turnus	06.13	06.033.3.2
['åring', 'tidsforskel', 'annal', 'fremskyndelse']	fremskyndelse	06.13	06.035.1.0
['hårfarvningsmiddel', 'farvebrydning', 'makeupartist', 'spor']	spor	07.15	07.001.4.0
['neonfarve', 'træolie', 'kolorering', 'firkantethed']	firkantethed	07.15	07.002.6.1
['kønrøg', 'neonfarve', 'plantefarve', 'mandeskikkelse']	mandeskikkelse	07.15	07.002.8.6
['makeupartist', 'farvetoning', 'gulvvoks', 'oliefyring']	oliefyring	07.15	07.040.22.0
['tinte', 'farvesammensætning', 'lakerer', 'forfrysning']	forfrysning	07.15	07.044.26.0
['farveflade', 'akvarelfarve', 'lak', 'ledbånd']	ledbånd	07.15	07.052.2.2
['shellak', 'julefarve', 'malerinde', 'afskalling']	afskalling	07.15	07.053.2.7
['farvesans', 'farveflade', 'efterårsfarve', 'mosevand']	mosevand	07.15	07.058.2.9
['farvepigment', 'metallak', 'ludbehandling', 'transpiration']	transpiration	07.15	07.060.11.0
['sølv', 'oliemaling', 'farveri', 'indeklimaproblem']	indeklimaproblem	07.15	07.064.17.0
['ildsluger', 'lyseslukker', 'pyroteknik', 'udstilling']	udstilling	07.42	07.001.17.0
['brandvagt', 'ildsluger', 'aske', 'porcelæn']	porcelæn	07.42	07.009.3.0
['ildspåsættelse', 'krematorium', 'gnistfang', 'forstørrelse']	forstørrelse	07.42	07.012.23.1
['pyroteknik', 'fyrrum', 'glædesblus', 'førerhund']	førerhund	07.42	07.014.7.0
['steppebrand', 'flyveaske', 'brandfælde', 'sørgeflor']	sørgeflor	07.42	07.018.6.0
['pyroteknik', 'røgforgiftning', 'grill', 'spektralfarve']	spektralfarve	07.42	07.024.1.2
['lyseslukker', 'kulmile', 'branddør', 'purpurkappe']	purpurkappe	07.42	07.026.4.0
['væge', 'ildhav', 'brandsted', 'stillezone']	stillezone	07.42	07.032.1.0
['præriebrand', 'bilbrand', 'ild', 'højttalerstemme']	højttalerstemme	07.42	07.037.3.3
['røgalarm', 'ildrager', 'kulmile', 'affugter']	affugter	07.42	07.061.8.2
['fotofælde', 'væddeløbskørsel', 'vejafgift', 'helle']	helle	08.09	08.001.2.1
['trafikkaos', 'hastighedsforøgelse', 'promillegrænse', 'indflytning']	indflytning	08.09	08.003.0.3
['kørelærer', 'spritbilisme', 'vejsalt', 'indflytterfest']	indflytterfest	08.09	08.003.3.1
['skolevogn', 'parkometer', 'fartskriver', 'gåben']	gåben	08.09	08.004.24.0
['køreprøve', 'trafikregulering', 'langtidsparkering', 'færgeterminal']	færgeterminal	08.09	08.008.30.0
['stoplys', 'blinklys', 'færdselslære', 'tandem']	tandem	08.09	08.013.10.0
['parkometer', 'gearskift', 'førstehjælpskursus', 'cykelmekaniker']	cykelmekaniker	08.09	08.013.45.1
['færdselskontrol', 'katastrofeblink', 'dødskørsel', 'toggang']	toggang	08.09	08.015.25.2
['advarselstrekant', 'køreskole', 'væddeløbskørsel', 'acceleration']	acceleration	08.09	08.019.2.0
['glatføre', 'tilkørselsforhold', 'bremsning', 'ledsagevogn']	ledsagevogn	08.09	08.027.3.2
['eldrift', 'hurtigtog', 'afsporing', 'centrum']	centrum	08.15	08.001.18.1
['S-banestation', 'salgsvogn', 'godsbefordring', 'bopælsforandring']	bopælsforandring	08.15	08.003.0.8
['dræsine', 'pladsreservation', 'togkiosk', 'flytteudgift']	flytteudgift	08.15	08.003.1.1
['nødbremse', 'sporvognskonduktør', 'førerkabine', 'stilling']	stilling	08.15	08.004.12.0
['salgsvogn', 'vognstyrer', 'U-bane', 'vognbaneskift']	vognbaneskift	08.15	08.009.20.1
['jernbanelinje', 'vogterhus', 'sporarbejde', 'cyklisme']	cyklisme	08.15	08.013.38.1
['skinnesammenføjning', 'bybane', 'trolje', 'labyrint']	labyrint	08.15	08.024.3.0
['sporvej', 'lokomotiv', 'vogterhus', 'afskedsstund']	afskedsstund	08.15	08.030.1.1
['st.', 'dobbeltspor', 'metro', 'hejsning']	hejsning	08.15	08.041.1.2
['hovedbanen', 'banegårdshal', 'nødbremse', 'kuldegys']	kuldegys	08.15	08.045.0.3
['tjans', 'kæmpeindsats', 'detaljearbejde', 'kammerat']	kammerat	09.21	09.061.23.8
['kæmpeopgave', 'istandsættelsesarbejde', 'kropsarbejde', 'hjælpsomhed']	hjælpsomhed	09.21	09.061.2.0
['job', 'madkunst', 'gulvafhøvling', 'drivkraft']	drivkraft	09.21	09.034.6.8
['hjernearbejde', 'kropsarbejde', 'vedligeholdelsesarbejde', 'rekordresultat']	rekordresultat	09.21	09.047.12.13
['fagfolk', 'rugbrødsarbejde', 'kropsarbejde', 'hængeparti']	hængeparti	09.21	09.031.4.0
['arbejdsopgave', 'markarbejde', 'dagsarbejdet', 'indavl']	indavl	09.21	09.044.3.3
['dagsarbejdet', 'opgavevaretagelse', 'rugbrødsarbejde', 'tilvænning']	tilvænning	09.21	09.029.2.0
['arbejde', 'kogekunst', 'holdarbejde', 'ophav']	ophav	09.21	09.026.3.2
['forarbejdning', 'gravearbejde', 'holdarbejde', 'påskud']	påskud	09.21	09.013.0.0
['rugbrødsarbejde', 'vedligeholdelse', 'implementering', 'dvale']	dvale	09.21	09.018.1.1
['akavethed', 'sjuskedorte', 'procedurefejl', 'stødpude']	stødpude	09.48	09.063.4.0
['fejlproduktion', 'vandgang', 'kludder', 'sløjfe']	sløjfe	09.48	09.032.2.0
['unøjagtighed', 'mangelliste', 'uegnethed', 'evighedsmaskine']	evighedsmaskine	09.48	09.027.3.0
['dillerdaller', 'ineffektivitet', 'umulighed', 'anbefaling']	anbefaling	09.48	09.012.10.0
['lappeskrædder', 'amatør', 'ineffektivitet', 'orden']	orden	09.48	09.039.2.1
['lappeskrædder', 'harakiri', 'byggefejl', 'tøjr']	tøjr	09.48	09.063.1.0
['uformåenhed', 'klokkefår', 'procedurefejl', 'skyllevand']	skyllevand	09.48	09.058.6.0
['mandagsprodukt', 'klokkefår', 'fejlproduktion', 'kamplyst']	kamplyst	09.48	09.034.1.6
['nybegynder', 'fusker', 'nul', 'jobskifte']	jobskifte	09.48	09.062.2.0
['nul', 'bytter', 'fejltryk', 'nepotisme']	nepotisme	09.48	09.044.3.2
['bilentusiast', 'favorit', 'affektionsværdi', 'nervesammenbrud']	nervesammenbrud	10.09	10.007.8.2
['gensynsglæde', 'livsudfoldelse', 'lækkermund', 'agtelse']	agtelse	10.09	10.016.2.2
['yndlingsmelodi', 'evergreen', 'verdensstjerne', 'kunstner']	kunstner	10.09	10.017.12.0
['karisma', 'genkendelsesglæde', 'festglæde', 'grimhed']	grimhed	10.09	10.027.2.2
['farveglæde', 'kunstelsker', 'kuldegysning', 'sekundavare']	sekundavare	10.09	10.028.3.9
['køkkenskriver', 'gensynsglæde', 'livsudfoldelse', 'sælsomhed']	sælsomhed	10.09	10.029.3.8
['aficionado', 'passion', 'øjesten', 'trøstmål']	trøstmål	10.09	10.034.5.1
['triumf', 'dyreelsker', 'genkendelsesglæde', 'beklemthed']	beklemthed	10.09	10.048.2.1
['sommerglæde', 'affektionsværdi', 'hjerteblod', 'takkebrev']	takkebrev	10.09	10.055.2.1
['dyreelsker', 'tilhænger', 'selvudfoldelse', 'hader']	hader	10.09	10.061.10.1
['ægtefolk', 'kærlighedshistorie', 'kærlighedsgudinde', 'mantra']	mantra	10.53	10.001.22.0
['kvindebedårer', 'ungdomskærlighed', 'hjerte', 'akilleshæl']	akilleshæl	10.53	10.006.5.1
['poesi', 'drømmeprins', 'kærlighedspagt', 'indestængthed']	indestængthed	10.53	10.007.3.0
['tosomhed', 'kærlighedspar', 'betagelse', 'alvorsmand']	alvorsmand	10.53	10.024.7.0
['hjertenskær', 'drømmeprins', 'kysseri', 'sladderblad']	sladderblad	10.53	10.028.7.0
['skat', 'forhold', 'kærestefolk', 'heroisme']	heroisme	10.53	10.038.4.1
['kvindehjerte', 'date', 'elskovsnat', 'spagfærdighed']	spagfærdighed	10.53	10.040.5.0
['længsel', 'kvindehjerte', 'snuskebasse', 'bangebuks']	bangebuks	10.53	10.042.21.1
['kvindebedårer', 'hjerteblod', 'pigehjerte', 'menneskelighed']	menneskelighed	10.53	10.050.9.0
['sværmeri', 'kærlighedserklæring', 'valentinsdag', 'parforholdsproblemer']	parforholdsproblemer	10.53	10.054.1.0
['udmåling', 'x', 'vinkel', 'mavefornemmelse']	mavefornemmelse	11.11	11.001.0.4
['flydeevne', 'gps', 'procent', 'moderinstinkt']	moderinstinkt	11.11	11.001.4.0
['nanosekund', 'taksation', 'tara', 'debatemne']	debatemne	11.11	11.005.6.1
['ml', 'spektrometer', 'decilitermål', 'iagttager']	iagttager	11.11	11.007.11.0
['talteori', 'gennemregning', 'procent', 'perspektivering']	perspektivering	11.11	11.009.3.0
['lod', 'knob', 'tdr.', 'kategori']	kategori	11.11	11.010.2.0
['gangning', 'induktans', 'mål', 'forskelligartethed']	forskelligartethed	11.11	11.010.4.2
['gigaton', 'km/h', 'goniometer', 'fortalelse']	fortalelse	11.11	11.016.5.0
['regneopgave', 'terrængenstand', 'sømil', 'fantasifuldhed']	fantasifuldhed	11.11	11.025.3.1
['sandsynlighedsberegning', 'nummerering', 'passer', 'historieløshed']	historieløshed	11.11	11.035.1.0
['svømmeundervisning', 'tabel', 'tværfaglighed', 'eros']	eros	11.29	11.001.6.2
['tværfaglighed', 'husholdningslærer', 'intellektualisering', 'tankeproces']	tankeproces	11.29	11.002.12.4
['gangvagt', 'lærervikar', 'tunghørepædagog', 'hverken-eller']	hverken-eller	11.29	11.003.11.6
['grundskoling', 'lærermøde', 'lærerstab', 'tanke']	tanke	11.29	11.004.11.3
['grammatik', 'grundskoling', 'læseindlæring', 'emne']	emne	11.29	11.005.0.1
['håndbog', 'temauge', 'landsbylærer', 'undskyldning']	undskyldning	11.29	11.013.3.0
['information', 'tavleorden', 'basisundervisning', 'iagttagelse']	iagttagelse	11.29	11.017.0.0
['projektuge', 'rustur', 'regnelærer', 'beklikkelse']	beklikkelse	11.29	11.020.4.2
['projektuge', 'informationsmøde', 'eftersidning', 'åndenød']	åndenød	11.29	11.042.8.9
['facitliste', 'degn', 'heldagsskole', 'antiglobalisering']	antiglobalisering	11.29	11.047.3.1
['mumlegøj', 'lydskrift', 'labial', 'insideviden']	insideviden	12.09	12.004.14.5
['transskription', 'udtaleordbog', 'likvid', 'SOS']	SOS	12.09	12.007.8.7
['hæmme', 'spirant', 'fonem', 'lydløshed']	lydløshed	12.09	12.017.2.0
['mumlegøj', 'accentuation', 'stavelse', 'testimonium']	testimonium	12.09	12.022.2.3
['stavelse', 'vokalskifte', 'medlyd', 'stereotyp']	stereotyp	12.09	12.032.2.0
['tryk', 'nasal', 'talegenkendelse', 'afhjemling']	afhjemling	12.09	12.035.1.1
['laryngal', 'alveolar', 'diftongering', 'pindehugger']	pindehugger	12.09	12.037.5.2
['taletempo', 'tvelyd', 'talegenkendelse', 'sandhedsserum']	sandhedsserum	12.09	12.038.6.0
['spirant', 'strubelyd', 'stemthed', 'skrivelyst']	skrivelyst	12.09	12.044.57.0
['diftongering', 'stavelse', 'udlyd', 'brudstykke']	brudstykke	12.09	12.047.4.2
['bibliotekspenge', 'fagbogsforfatter', 'rejsehåndbog', 'blindpassager']	blindpassager	12.46	12.004.25.0
['bognyhed', 'stikord', 'yndlingsforfatter', 'kryptonazist']	kryptonazist	12.46	12.004.30.4
['lovbog', 'morskabslæsning', 'forfatterhonorar', 'visir']	visir	12.46	12.004.9.4
['fortællelyst', 'opskriftsbog', 'originalmanuskript', 'whistleblowing']	whistleblowing	12.46	12.005.5.2
['drengebog', 'underholdningslitteratur', 'midteropslag', 'bombealarm']	bombealarm	12.46	12.007.10.5
['langgaber', 'bestseller', 'essayist', 'nødbremse']	nødbremse	12.46	12.007.7.0
['lommebog', 'paperbackudgave', 'samtidslitteratur', 'fransk']	fransk	12.46	12.008.39.1
['bogsalg', 'drama', 'visdomsbog', 'nasalering']	nasalering	12.46	12.009.27.1
['øvehæfte', 'rejsehåndbog', 'spøgelsesforfatter', 'betydningsudvikling']	betydningsudvikling	12.46	12.012.5.0
['bogryg', 'morskabslæsning', 'referenceværk', 'betydningsløshed']	betydningsløshed	12.46	12.013.6.0
['cand.scient.tech.', 'kandidatuddannelse', 'forskningsprofessor', 'bifund']	bifund	13.01	13.003.12.0
['cand.arch.', 'juraprofessor', 'skolarstipendium', 'forsøgsdyr']	forsøgsdyr	13.01	13.003.5.1
['cand.arch.', 'stud.theol.', 'ph.d.', 'perpendikulær']	perpendikulær	13.01	13.005.11.2
['studieordning', 'speciale', 'ph.d.-stipendium', 'kubus']	kubus	13.01	13.005.26.4
['lic.', 'erhvervsakademiuddannelse', 'optagelsesprøve', 'fraktil']	fraktil	13.01	13.006.1.10
['konferensstudium', 'drømmestudium', 'studenteroprører', 'sammenhængskraft']	sammenhængskraft	13.01	13.007.36.0
['optag', 'master', 'studieplads', 'isolationsevne']	isolationsevne	13.01	13.008.6.2
['studerende', 'konferensstudium', 'magistergrad', 'gummi']	gummi	13.01	13.009.65.1
['studentermedhjælp', 'overbygningsuddannelse', 'professionsbachelor', 'sporelement']	sporelement	13.01	13.010.6.2
['immatrikulationsfest', 'kollegianer', 'politolog', 'udviklingsforløb']	udviklingsforløb	13.01	13.020.17.0
['areal', 'cirkelafsnit', 'keglesnit', 'bifund']	bifund	13.05	13.003.12.0
['storcirkel', 'fraktal', 'halvcirkel', 'alkymi']	alkymi	13.05	13.009.126.0
['sekskant', 'pyramide', 'linjestykke', 'kation']	kation	13.05	13.011.2.1
['dimension', 'vinkel', 'ellipsoide', 'ædelsten']	ædelsten	13.05	13.013.1.0
['storcirkel', 'pi', 'tredimensionalitet', 'sølvstage']	sølvstage	13.05	13.015.27.2
['cirkel', 'pyramide', 'cirkelafsnit', 'NLP']	NLP	13.05	13.018.15.4
['parabel', 'areal', 'tangering', 'frankofil']	frankofil	13.05	13.018.44.1
['cirkelslag', 'transversal', 'tangering', 'casestudy']	casestudy	13.05	13.019.2.1
['kubus', 'vinkelmåling', 'flade', 'korstog']	korstog	13.05	13.020.32.4
['firkant', 'flerdimensionalitet', 'polyeder', 'ulan']	ulan	13.05	13.020.74.25
['streng', 'keyboard', 'blæseinstrument', 'model']	model	14.15	14.001.73.1
['hammerklaver', 'slideguitar', 'klaverstemme', 'træskærerarbejde']	træskærerarbejde	14.15	14.002.2.0
['koncertina', 'harmonium', 'dirigentklokke', 'karikatur']	karikatur	14.15	14.003.0.0
['piano', 'strengeinstrument', 'rytmeboks', 'fortegnelse']	fortegnelse	14.15	14.003.1.5
['digitaltuner', 'orgelbrus', 'bas', 'nyklassicisme']	nyklassicisme	14.15	14.004.4.2
['trommehvirvel', 'dirigentklokke', 'strengeinstrument', 'tegning']	tegning	14.15	14.005.0.1
['timpano', 'pianette', 'trækspil', 'grafiker']	grafiker	14.15	14.006.12.0
['pedal', 'harmonikamusik', 'nodestol', 'faksimile']	faksimile	14.15	14.006.5.1
['klaverspil', 'guitarkasse', 'maracas', 'halvmåne']	halvmåne	14.15	14.007.10.0
['klokkespil', 'melodica', 'rytmepinde', 'retouche']	retouche	14.15	14.009.54.4
['beatgeneration', 'forfatterskole', 'debutroman', 'epigon']	epigon	14.21	14.001.68.1
['slutning', 'handlingsforløb', 'autobiografi', 'fordrejning']	fordrejning	14.21	14.003.1.2
['levebrødsforfatter', 'skriveblokering', 'jegroman', 'lied']	lied	14.21	14.013.17.2
['naturskildrer', 'gennembrudsværk', 'rejsebog', 'operette']	operette	14.21	14.016.2.0
['personbeskrivelse', 'dekonstruktivisme', 'fiktionsprosa', 'danseshow']	danseshow	14.21	14.017.9.1
['skriveværksted', 'gennembrudsværk', 'rammefortælling', 'harmoni']	harmoni	14.21	14.019.0.4
['fremtidsroman', 'levnedsskildring', 'titelfigur', 'skodmusik']	skodmusik	14.21	14.020.1.3
['pen', 'nutidshistorie', 'karakter', 'frikadelle']	frikadelle	14.21	14.023.65.2
['essay', 'hverdagshistorie', 'føljeton', 'skueplads']	skueplads	14.21	14.023.93.2
['mosaikroman', 'passage', 'penneprøve', 'slotsmuseum']	slotsmuseum	14.21	14.024.3.1
['løgstørianer', 'bybo', 'aboriginer', 'trolovelse']	trolovelse	15.01	15.004.0.2
